,1015.3.30.F01.S900,1015.2.18.F01.S808A,1015.2.11.F01.S700A,1015.3.27.F01.S730,1015.2.20.F01.S1830,1015.1.27.F01.S,1015.2.07.F01.S2212,1015.3.19.F01.S800,1015.2.12.F01.S2200,1015.3.22.F01.S715,1015.2.08.F01.S2130,1015.2.01.F01.S2145,1015.2.16.F01.S1700,1015.2.01.F01.S946,1015.3.02.F01.S800,1015.3.21.F01.S800,1015.3.17.F01.S915,1015.2.24.F01.S400,1015.1.30.F01.S,1015.3.16.F01.S730,1015.2.04.F01.S100A,1015.2.20.F01.S2030,1015.1.20.F01.S,1015.2.09.F01.S1020P,1015.4.01.F01.S1100,1015.2.16.F01.S2030,1015.3.11.F01.S800,1015.2.22.F01,1015.1.23.F01.S,1015.2.25.F01.S2000,1015.2.27.F01.S800,1015.3.09.F01.S945,1015.1.31.F01.S745A,1015.1.22.F01.S.b,1015.2.06.F01.S2115,1015.3.31.F01.S1200,1015.3.15.F01.S815,1015.1.21.F01.S,1015.3.18.F01.S1500,1015.1.22.F01.S,1015.2.19.F01.S1737,1015.2.07.F01.S115A,1015.2.29.F01.S1030,1015.2.06.F01.S609A,1015.3.06.F01.S800,1015.3.04.F01.S700,1015.3.08.F01.S745,1015.2.07.F01.S1400,1015.1.25.F01.S1015A,1015.3.23.F01.S715,1015.3.10.F01.S800,1015.3.04.F01.S2359,1015.1.29.F01.S,1015.2.14.F01.S900A,1015.4.03.F01.S800,1015.3.14.F01.S800,1015.2.03.F01.S800A,1015.2.10.F01.S2100,1015.3.20.F01.S700,1015.3.12.F01.S730,1015.1.18.F01.S,1015.3.13.F01.S800,1015.1.24.F01.S,1015.1.19.F01.S,1015.2.19.F01.S1500,1015.1.26.F01.S,1015.2.12.F01.2200,1015.2.17.F01.S700A
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,12174.56442199523,8038.200748057109,12009.505416940126,12196.98223679978,9678.291563650293,11567.070214265286,12766.174290945528,12054.523092984387,13564.017673435033,12090.133087846492,7424.166229548659,8124.97968763162,9128.528384601734,10364.574182267137,6730.672966874582,12739.897310018532,8227.10476708188,12827.086625766095,11758.571073162173,8588.656942607735,13473.93816308869,9994.852722053849,13254.675581019295,11047.5455438854,11836.055782440066,9650.430994717628,8707.171880928989,8510.944972606801,9405.8907277783,6544.002199684087,12027.287397947772,12271.267662170669,10821.90422289625,9457.396744977312,8514.763199440202,12882.279861620751,8848.65276884367,10598.404465077836,10725.584051422738,5766.3115616923205,10554.622932085307,7511.9698170487745,10243.971560840855,10210.408401651774,8302.658974009479,6081.093656346416,10581.107963213477,10147.458803303974,9535.970305837694,11927.60873308624,13289.96528149487,12129.464864203039,12378.389465851926,10901.71965958296,8278.418531367532,11083.609843734852,12481.250293520492,13113.92014447099,12911.7873750829,11533.651640034454,11703.52718318256,11695.943645585301,9986.735894958249,6805.187999928648,10359.570628309695,391707.2131178758,150159.78958613623,8887.912182655838
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,2005.143432922945,1324.0607933749232,3623.600456116072,3543.1721267677044,1650.1821513734483,1904.9377433791808,3855.3745580549094,3466.781465187242,3868.4232217787426,3444.9399044606484,1943.9813591263323,2558.6736408347156,1503.3716788588333,3091.9037115335736,1575.2787898548409,3702.1803668418625,2410.7290378757743,3659.5155247157304,3560.922128574102,2614.136346933648,4019.7676802432743,2709.944891665324,3987.287218592327,3343.2063178208464,3430.4575136752205,2070.0310010851995,2581.5943524931613,1688.820824617982,2891.737928867582,1349.9054167472896,3483.7335628330657,2021.300843650919,3333.9263845585433,2872.6496221203574,2583.475056263464,3760.1937807256354,2589.847899020152,2893.38292637012,3089.726699998883,1845.8695507400714,2856.1683957666246,2358.2905008334424,2338.5507999112515,2996.240020385532,1815.5498348334895,1790.032092557913,3137.878649107612,3094.7393255684965,2911.0074007011,3521.2255794945822,3163.237792377909,3234.1316616328663,3668.138900112178,3174.18263961594,2454.869274494892,3238.918302214984,3741.9395422182847,3979.8740855127476,3724.553833450568,3402.2107683508675,3545.602891100169,3370.7676409025726,3034.9905297097407,4569.253852504474,1999.0902933231969,105835.53103605218,43550.693603425585,2161.428306552795
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__,250.9855526514472,52.18389089186598,3489.8375776115104,3301.138573324135,3.448692693452031,365.62170015440614,3715.8703819236657,3200.44163866961,3543.5598244111834,3152.9465725036516,1631.7923471531165,2528.7340629709097,282.6967654668217,2949.043368070429,1147.2221841677826,3450.3760725694583,2263.586315071285,3353.2809569268043,3440.0577678023255,2536.0700141596244,3834.2782476137986,2361.6176273091387,3830.3424826570567,3227.796881732614,3189.488522063497,1310.1020668908711,2449.268949357306,912.5988724957997,2821.9911604648764,792.9006792236528,3237.2057902160645,65.3965247865475,3257.1229967820154,2782.1094668220944,2499.7478105927094,3518.47065521864,2429.2566081181626,2539.36392095017,2856.730955034525,1839.5456694936252,2484.0316373500846,2326.9345200034154,1641.3282039150317,2817.0033762979365,1188.5836555989645,1687.5749047972984,2977.601492105221,3007.028952999071,2829.950583232165,3328.1786297546796,2358.9413374880196,2769.1083523644506,3478.519730111634,2963.493625888666,2329.366883474904,3033.8413116319693,3584.3208240730837,3851.6688896456612,3447.9774431907967,3213.4377751886523,3426.350716573302,3117.861832292719,2940.588847963402,6048.927625305053,1010.4360790370442,91897.77926325296,40516.63494723621,1659.1581788910091
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium,2175.505631349963,1426.1142651014,2437.6521782529485,2453.839910566989,1592.714623472796,2078.4315709839757,2591.791709343404,2419.591957940429,2717.395177758881,2421.618919906651,1459.6746668588412,1664.262147627922,1639.7319587498587,2098.122886121075,1293.4608107668862,2563.272321399803,1658.4815765234564,2569.961116633595,2388.798893541698,1746.9221943977475,2727.6052134568486,1979.9190175537674,2688.4751605807205,2243.9696239338905,2379.9715706445627,1824.459962812745,1760.0764716030692,1587.2019215317587,1917.1574706716376,1228.589050476764,2418.081086916006,2175.8491961059626,2206.702299776269,1922.6801821770466,1730.5882590036606,2594.5752350626794,1783.297649692519,2102.638320624238,2153.6663593698718,1185.1667657147557,2089.920348739368,1537.7074058173696,1959.2091997052667,2058.986375273551,1575.1825698389082,1227.1706685330487,2138.98431548367,2064.9403213523824,1940.8774761280135,2408.6330800636733,2562.4126361876724,2394.0612271588275,2501.8709436823324,2194.415339949681,1673.4710835045275,2232.907693208175,2529.574959771664,2665.500433527716,2593.455069152938,2328.645421156046,2377.8319964977627,2348.752580237599,2030.5427162502847,2089.498620691836,1922.9249736532133,77535.79954737265,30198.586855243302,1720.9959416044808
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,1000.9248949006106,633.6801724831296,2216.5046935185446,2087.21805145593,723.8743458020467,982.728097714471,2360.303970523953,2020.960792653078,2235.1784056923875,1988.5502410218207,1016.0033185830287,1612.586483892495,774.0748289631252,1870.592303685205,809.5969206292123,2181.6724608000054,1432.7404019015557,2115.252616006546,2185.7860397148,1612.3010813765811,2432.1217978189957,1478.8709715372686,2431.942190243967,2050.753470540918,2016.0429252826837,1075.6233342013284,1552.4655392906232,886.8849768931755,1795.778590949133,705.1362716808862,2046.0448798067837,964.1121141842636,2073.0623935316817,1768.319736306912,1588.6553923184226,2225.9584769458793,1537.382735156782,1591.8547973761101,1804.307541918596,1174.7145807567842,1555.057800546704,1483.498824087569,1205.5102274284452,1783.3436595273313,941.0425742172079,1068.7448906085951,1887.3967381295251,1912.1199011582676,1799.6757292429345,2108.479519777676,1622.3110605780626,1729.4218113586169,2204.716795446342,1874.2729499349348,1476.4939911250544,1919.6318556377546,2274.860558314204,2447.9024172347035,2178.117324878326,2035.5938940214016,2177.169069053392,1969.3508664564579,1869.1557524497969,4331.404974158377,1053.9728817953485,57516.08381278229,25612.355955011266,1105.7269484595347
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister,496.5240791811449,277.54576911017966,1919.9787072037836,1842.7231018259874,103.19359779035685,528.0487093578864,2043.6615525701693,1793.8000419735079,1993.0040371105683,1773.9875568519035,955.1560022933767,1376.333186928574,414.12922625447777,1629.3121748245765,719.4776933785629,1925.75943290853,1259.2253312955772,1885.7131142420951,1890.0644865901625,1391.0938704254283,2118.335679781104,1358.5561167957183,2109.6413121670403,1773.9029071762113,1782.0366548279226,883.9653554589523,1356.3372722278123,672.5238756469219,1544.220859378554,557.3171987432296,1809.1465757325827,417.4122609541469,1781.4742984756003,1526.9118282977665,1372.4889963858468,1960.3042475705474,1352.00324299086,1456.087707605081,1600.0652267377618,997.7209547694358,1430.299734154704,1267.371968674867,1048.8552427132172,1566.1970362083496,787.6071911530571,937.1268019577077,1648.7770198824066,1648.5228779109611,1551.1096378506854,1846.0969283000293,1461.9556964121844,1605.984668183251,1926.6957430869434,1652.7317545025496,1289.8594707091013,1689.5239475946616,1976.612687758235,2114.5777951668883,1930.157186604439,1782.9992895522155,1882.2734705948562,1746.0064364218454,1613.6543736382273,2897.68814710698,774.3359529152542,52953.71350306525,22631.314249197392,1013.6789026668858
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__,10258.230959158376,7152.607599491743,0.1,119.46471918478709,13217.460012785814,9321.258739414592,0.1,324.95701955391456,557.5818338317748,515.5229677183393,1329.8013373987128,0.1,7375.786264156556,0.1,2311.416433161827,117.13676044032476,0.1,519.8233479895007,0.1,0.1,0.1,1241.5695604645935,0.1,0.1,162.42283778898528,4428.726997896079,0.1,4714.209989263532,0.1,3321.047931970566,177.74644043608998,10966.83011624026,0.1,0.1,0.1,20.120164907719637,0.1,1199.5588809663448,258.7723537957046,0.1,1343.9003635967194,0.1,3866.605134889779,0.1,3605.625916875921,0.1,0.1,0.1,0.1,0.1,4251.988112784811,1829.2917365460376,0.1,63.76073053554867,0.1,0.1,0.1,0.1,281.69684470265304,0.1,0.1,273.26725828914954,0.1,0.1,6072.380772157123,50842.713246302585,1885.0110902142817,2572.012019612759
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,1807.4679808104247,1211.429836394541,1269.3526902258425,1327.6759588386547,1677.984495559936,1697.0590829005537,1348.3550195204893,1322.0089054913003,1496.6825935643474,1334.932296816904,867.931137707038,832.2195668950386,1340.2220097327524,1105.4342065222595,839.4532572606878,1386.410156183745,889.6998576982501,1415.0129938022733,1239.1658854884183,901.4029428120942,1436.9805740366405,1142.363563643063,1404.3392183216524,1164.907347909316,1290.5994155558894,1256.620890480871,933.1281415779093,1146.693645695204,980.1101884793509,867.2408529795739,1312.0552550055588,1851.6518724566708,1126.031168873558,994.2395892360754,895.9441395567708,1397.228248890734,957.7613807836075,1205.782589249855,1174.8213415621992,583.5177588173991,1207.902437039074,771.1745259420954,1294.217213418958,1102.9543719932872,1071.3914824943695,655.3386624383312,1133.7625639203027,1063.3132139524453,998.58432634368,1282.5271198683192,1642.6929000077166,1401.681055067903,1327.1087463749898,1184.6369687111649,887.0682233752949,1201.092028285566,1325.9600352996054,1379.6079528186635,1412.8676359162037,1240.9288941469579,1232.98565375935,1280.6850877204545,1049.4506929584982,5.655001462930366,1411.6581432146222,44874.148493378336,16365.019951209724,1085.6643750387013
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,877.9451588189122,576.9543892152286,942.9787277186775,951.9309972919116,661.8624412643768,837.1655595633662,1002.5378310694151,939.3385773833598,1055.597228091097,940.7625895818668,570.4734938116948,641.9461439914384,660.5366031644992,812.3302639283208,509.3068083286768,994.3580558205052,642.9715722121964,998.2999750554525,923.824392969386,675.331708684788,1056.0411294581952,771.9144188591863,1040.2427724247443,867.8612363621377,923.4307279737844,722.3022771734165,681.7615505188081,631.2559856994901,740.6494405406221,487.53157425888946,938.2598442061744,880.4507654792193,852.3949802211334,743.3926210177084,669.1773831231187,1006.1716467396699,691.4206212385801,819.3609082370449,835.9984233812918,456.6552662745751,814.9124852388624,593.2516483106298,772.6723148680255,798.155867364373,622.8836879629162,475.5971708035328,828.517220459155,798.1545066513335,750.1553792481913,933.2781340793551,1007.8681282443362,934.4749636159167,969.1321154464855,851.1468507322669,648.2073403242769,865.8436774999155,979.0093218510135,1030.6668334570822,1006.6130331790573,902.3386823058535,919.5566572821755,911.6959755626805,785.0665061924976,382.3481704536365,765.9872100979553,30236.452499878847,11716.48505971691,675.965540289073
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia,238.24613647364842,131.88987224310958,957.7905826036329,918.5525492628988,0.1,254.81061399591502,1019.5080410013808,893.9766647749188,993.0760673089802,883.9269158354563,474.9740038921932,685.3593030058637,199.77934004314076,812.6097674718737,356.5914888325304,959.9511183019728,627.8053350641444,939.622047402632,942.9342140596533,693.9481095547168,1056.5088670942614,676.1626956001467,1052.3434004655762,884.9702360905568,888.2593766250476,436.6771475352845,676.382778152728,331.0078259759025,769.9194340191033,274.83476062438604,901.7607282060866,198.16458923499755,888.1211906308927,761.8046539577521,684.7458278026515,977.2607363517931,674.0451004773129,724.8235792741738,797.453135435559,496.4059206342605,711.8366975398186,631.1965366375688,519.3893808236595,780.873815056334,389.3845595979402,467.2616967502221,822.2211623032622,822.2750756770225,773.6439998305225,920.5381986258304,724.9851972701438,798.982177177439,960.8008974925765,823.8857776000074,643.2334813017238,842.2899987578041,985.9203133566556,1054.9847849930763,961.9945510328466,889.0608890907938,939.0542026933699,870.1967136283023,805.0590799780301,1397.7082740182266,380.53490596614296,26353.20902525188,11280.78020670829,503.0249376393464
