,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea,146.3104395019653,175.0841504696679,135.2708863555266,142.90121846273314,142.00355459649006,134.03411674433264,96.99010350680204,112.10392005023395,69.2465283599899,170.20000139908433,159.23655351375106,125.40322705686549,134.7751636789971,134.43914387722248,89.42528931547676,146.79271391432394,91.65525753448652,137.93453189554185,193.2111319923492,65.23758111054805,92.17165437874137,91.39678813392908,93.55746229989172,126.80266139974393,82.40784460416951,175.1376044816227,93.3777731234182,75.32244617049237,120.15177306195824,61.590061575002096,78.85291954358858,181.11431125594467,173.08802448247786,170.3214621680756,120.23361843110494,104.39494210415644,127.21075845286668,84.22967387987241,0.30000000000000004,71.77301739558938,82.34555184094923,31.43031832236853,107.69912713307065,101.05824072772728,116.82781900821165,108.04361522721386,121.46580799764914,115.28674213331229
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella,0.1,28.05094470893015,9.943037163300954,0.1,27.884726942412623,5.0007728882802285,0.1,17.25690071231227,127.02650551820642,25.179195999070092,25.299121476262986,14.1121133703929,11.423057936393207,21.238291938040852,0.1,30.069882617954203,0.1,21.952275616534852,0.1,156.77321776665605,17.695316428066633,200.26380829739605,0.1,24.01921491015675,0.1,3.19237355747081,0.1,113.44141657756857,0.1,0.1,7.9191889253213565,29.604208003808107,7.783651247055478,32.27119846503827,3.406777371383955,0.1,0.1,0.1,0.1,0.1,0.1,343.8350462578065,0.1,12.093236240941739,31.25798846753425,15.61422397956397,9.37195487251867,17.221101315044702
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Finegoldia,154.82306974584986,20.438150146841224,61.3038122391311,125.63891789010476,0.1,79.56809100171978,79.17028784733083,15.81693194623224,0.1,27.97490730887643,19.413997209791773,37.84008009881352,55.194821615816146,16.860531228899415,100.15208421271765,0.1,108.23094045872223,16.67109485951288,250.2731603370856,0.1,0.1,0.1,102.66309247489045,0.4307984063748453,61.62302859924653,116.93662929391459,111.81188996328731,0.1,101.13562528206656,57.11431057215818,27.49716598501598,18.863758483697115,97.60760183995072,0.5454144860718023,75.56281147697258,127.74557459870441,158.36010606941386,62.50089435305461,106.1505105748613,319.22765323913916,89.54282225488363,0.1,92.35326780139224,27.69727764936118,0.1,19.192844572535176,53.325928443386644,18.306084705014992
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella,39.70971702270596,79.86902782395407,52.7748322433765,43.80406393956168,68.68807937698575,48.59778450669096,30.9286238991336,50.6030966147185,119.876306887662,76.04994824344092,72.47768026083705,52.65235381101059,53.73628358166955,61.09875272513588,23.186567175857963,71.95254435830249,22.669363011395944,62.81051948279389,43.44619421716374,141.1901569011049,44.27631178765757,183.05173737291128,24.673421409760017,60.66471177406085,27.38628994442293,60.95593751556383,22.79180075630894,111.56098972469469,37.7141374637611,18.297677934599587,32.380687674718786,83.06697633232221,63.76751083334987,81.49142433884039,42.772244362976615,24.942832025950672,29.865169930160583,28.086812026809554,0.1,0.1,21.876934383213367,261.6035903017668,33.471878007902,42.97965144463593,62.84413318310026,47.99531187334285,47.72675738768203,51.63942036120118
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,426.5343304518137,487.84752235369837,383.1453743928264,413.09342930598166,392.9454134225811,382.21991562439916,279.53958479138663,312.7358105040145,132.55536753557038,475.3485705399212,443.8034798842834,352.5954435533629,380.9355549931983,374.7556842592502,261.45515987636435,405.5364017755737,268.7392185002889,384.41328603387717,569.5365233792965,107.060451896597,255.2676781798051,159.25835276332745,273.24665738194057,351.35009201935327,236.73855858735573,501.20878186237803,274.00156096026444,156.06035752196578,346.71375878787995,178.44810144863084,222.21735269133816,504.3377621702687,492.8840231178434,471.9292458828967,343.43891259643385,306.70500540442794,374.1053372559255,241.905914309944,0.4,242.5489108917909,240.38893593161575,30.69371986864933,311.0127070201397,283.76185165726264,318.86140595488064,301.94948867064096,343.80772923943755,321.89425605716264
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus],410.3586892006331,795.9927603343962,530.7908998261357,448.11215370368063,682.4490550576618,491.11306289284136,315.4344778583005,504.61137142963236,1147.0238630180518,758.7903911880826,722.4164667858082,527.2048972480275,539.7314407321337,609.0476799881818,240.5933613223789,714.4001898573292,236.26765838885223,626.0441946485988,457.13584329520165,1346.9415299281045,440.06319148717836,1747.9770421844046,255.62674992099528,603.0746617442187,278.45099314402864,617.7301035319301,237.84621259400882,1070.1404083252128,385.1024254249398,187.65147590690125,324.65248278761675,827.6227054223383,643.7271060861125,810.1119733230677,432.80058672234543,260.8367191887345,312.8570480598745,285.5030742097071,0.5,39.162834891576416,226.5041551677937,2503.0510571505192,342.0461676345768,430.0305653924285,621.1600823135277,479.0297394815411,479.805725602829,515.1641030113811
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Anaerococcus,1289.2710799861259,461.47417792837615,653.1889739349448,1086.7903661766597,271.3153222097717,769.906953848772,697.8806375783768,313.308356861694,0.8999999999999999,501.43981856340963,425.09529865713193,481.7702784842752,612.4449052074518,361.9740976450042,825.2649907684117,262.41200116396567,883.4919143370454,367.29106066550963,2011.6233532918568,0.8999999999999999,183.7243340576308,0.8999999999999999,849.1205095900424,258.85336203948845,556.1852923332307,1090.496283267768,910.5300129854817,0.8999999999999999,884.4513588899615,488.3639804818515,327.1092369111812,462.5158603555194,960.6790915571346,347.46054918408305,717.9357872632747,1036.4512101830212,1281.1513713099948,565.3214757441782,512.7911832552924,2273.416282655613,741.850271952017,0.8999999999999999,803.8722845061443,370.03412388936033,121.1236323469424,327.7001690817933,575.318059437811,335.4969725324405
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,795.9148871816224,974.5317166750842,746.8284627998561,780.7967735883158,793.0723202936008,737.4774159321754,530.7613990954803,623.6129977891649,445.7199408978961,946.2596993578765,886.2121142571679,694.8945117354923,744.8801928645903,748.142114223867,485.72477916686216,820.4664811748472,497.0891253616295,767.6777812388235,1044.9094030812696,439.20909305177,514.557165164201,605.2502440754963,508.4528933632441,707.7192852075833,451.71895592586856,961.8975361145648,506.2238138460827,471.9680552566296,657.0996123629801,336.1241587060327,436.44984204823226,1008.4013860414386,953.0477934823688,950.6137088173944,660.9836710776813,565.5831696174972,688.8317781097179,461.770247890889,0.8999999999999999,357.83463183607813,447.6294965378947,213.26147350437,588.7694179148189,560.3669208677685,656.7940162972093,600.4970774448409,670.8415544196693,641.0450295910542
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister,484.73541399093125,435.59909647048653,376.43544179187853,451.02422057359945,335.83739160150594,389.49243916823264,300.77040452896483,281.3012369124715,217.37885252177205,430.55280048378205,396.8949564358915,332.3303737857337,369.89868951006616,335.49951107669847,301.11274661787155,343.5102994914016,313.51323215436116,343.67219190407843,680.2791218347251,224.0796001888588,219.35958419983157,303.7131779864542,313.17132943744633,302.8820614779898,250.60344743205607,520.3013759913458,320.7609942501605,223.57720593835685,375.2768422686548,196.9882732655544,212.21356375726654,448.6049875551422,498.4711733583345,406.8023614279311,353.05915610061584,361.0087633761311,442.27058915297323,255.7190550608121,80.86002843198213,453.81035442934785,274.9247569656474,177.3328756081709,337.8722351302347,265.3626749506879,271.4317800089069,274.57361550626393,336.5094983325292,291.0758628330248
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes,17.019823460263222,19.498779992293624,15.304578795862607,16.48852436784301,15.709734134697163,15.263803088660504,11.158964904178948,12.49917752272749,5.342411491433858,18.997542009462627,17.738213607619972,14.08811725930685,15.217499026349854,14.978371751694935,10.431651569119431,16.21411493624572,10.721180131630927,15.364499362356415,22.71697392422769,4.274848218602743,10.20513185587325,6.384939032459871,10.902528765874894,14.046069228309493,9.451509269030966,20.01297102592292,10.930815596315666,6.316623986029753,13.839888327135904,7.122125200373721,8.878044316639867,20.15834703997611,19.68416482835827,18.866519247036084,13.714257417599713,12.234927204020991,14.9231027793969,9.657906526217904,0.1,9.630507327527846,9.591667559536221,0.1,12.414460086847756,11.338408646696465,12.754581050439825,12.06726718082393,13.733601614292676,12.864795956011735
