,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea,446.98746226130373,585.3092714543111,525.5559932687046,610.0464328395393,568.5795129167591,653.0992185098099,496.59355969172975,738.0745906511282,586.2136639232987,700.8022213054629,584.5125560632348,608.6756582016927,569.6040501280668,642.3159014521409,623.1856927455802,438.41009090995794,527.9197587655891,593.0221834964766,560.6473362984581,492.28841490618623,514.8707241036952,374.9838266991104,521.9080527021721,588.7465213948418,561.2935115391979,395.31076681583306,516.424700866744,468.5035879987358,347.3351500477128,436.2597733606744,313.25295334023104,311.8327676230675,387.52898953015296,453.5109312666772,298.82118519552364,421.1274975031585,346.95460319600807,454.11703641579317,485.345777127492,334.17846347025,509.55454803198637,475.69907968651694,421.6131386880615,453.71779179734136,931.3587984238676,575.5302159675811,815.567530185057,953.5280667564112,864.0033734376967,863.1736047110737,698.9823638800614,320.51134610558347,881.9242080712428,585.07708047624,854.515316525478,580.5757313195945,635.8271737104492,590.1499119489887,584.89515250545,566.5547219333938,598.6987709340067,576.9907513183874,484.9791794429356,315.5643200309279,413.40640057546386,451.08072679946287,413.63993212206236,425.96558115349717,22401.09160793314,5378.406728467952,531.2276899400047,311.0942149106365,599.5090850047964,296.50973346960393,511.1125528050618,521.1504057958341,643.8277828544502,588.9820211765323,453.47617249519476,457.22578817467985,522.1788599643469,480.65655599427856,403.5403562744464,402.50769457958575,378.68960646264566,424.68143964533937,409.115822914068,644.7697477747166,594.8247767590804,362.13967042509177,193.54338034797686,572.7181136073725,517.8834072499305,335.9593591551906,580.8500389920371,437.5074660116121,744.8838806090445,655.8905377551832,623.2242408233037,480.1981096740825,589.7607485990592,461.11236791517035,647.5446038311402,583.1568202861196,507.07767587200243,905.8814973788988,475.6592354543728,374.55995745610636,560.1166298381346,664.7608528914135,633.7231967609371,317.20010017628897,353.69329451054637,0.30000000000000004,722.1777293128994,2296.1592250861986,959.6840237323893,853.4020833106123,544.0188725459074,449.7591989041104,480.8992322687668,483.85910168814513,434.6654840870076,528.9815550836754,534.3580812321858,583.5277880855668,533.0056537307846,537.7846685213964,388.0148324550688,348.0227565182387,341.7452538788097,500.3080210344883,381.2795915224029,445.1761366741636,387.60597799043586,444.833858567853,336.9975136750715,474.80114183105314,263.4010320912472,491.52913294137846,524.7386954261406,519.1021560118435,528.6367069704664,469.14050523709886,586.6707633715523
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella,2.1092803204462034,0.1,3.8171558308209486,1.785567074622204,6.7775638523034045,7.604963722230363,5.542730893014804,7.409298772701622,6.631091690554402,8.020329650374382,4.433171731526971,1.976984162089912,1.4236932055408118,4.01755612153026,3.3325718880801665,4.861762257855677,3.863345179218692,4.318054624590148,2.629081249239828,3.032656364940544,5.688096760920695,3.449445864702932,5.721939001152803,4.457311288274088,4.236264553251137,4.648911906090411,6.344729165169006,5.444983783403841,3.9349602164079176,4.9666040043761575,3.7081322501190814,3.8794532862679874,5.880171631358914,5.055080764598214,3.4888764578381197,5.02953426088715,4.090075255401191,5.611287329747458,5.470101062363443,4.0266073685167845,5.839716469831508,5.644572090174796,5.302817701047983,5.6446549523434415,11.053900164989534,6.802865257040034,9.654647408780065,11.284036873184187,10.176074736909966,10.23026792955393,8.028987624499033,4.050574211750583,10.179665263376943,6.778904784463746,9.073189366285355,7.209824923494438,7.13354885715958,7.270330796754322,6.8518436208036775,6.692647999661762,7.0953733326462585,6.550895872338918,5.951270677429677,6.201956772439767,5.519519110136143,5.9423337301679435,5.292297612927904,5.4991818506336045,0.1,49.22364052805389,6.579892833836974,3.724595891311669,5.6727006611195385,3.73799957199318,6.397873726979135,6.636559238637929,7.864644497211986,7.192086645218716,5.688717675246052,5.6709572918561655,5.760195305228756,5.532873500188413,4.996472085590597,5.089512669336268,4.6537498344185035,5.480786995587457,5.356543797639547,7.219050162670604,6.754332243239973,4.476650905248004,2.1931252560813506,5.53856767256625,5.060498734052173,3.880781515300936,6.3710638979521965,4.82181235970959,7.873285652185131,7.719163455645138,7.370232525865878,5.649602684368462,7.0364114739696255,5.263374356042419,7.267748673423416,5.848639704378039,4.912634798626295,10.110390035594053,5.3581262369015965,4.090525812780988,6.443227469525052,7.32126390928066,7.213120244359533,3.877020749780337,4.306646925880049,3.86591433630436,19.021502629944404,27.010823195861235,11.146838834249175,9.902525933689702,6.4165798006509975,5.306300531147636,5.640927550531748,5.550980140509004,5.207398915756354,6.593337292086653,6.3746096389716405,7.116574691108812,6.594590386756314,6.6557054621614125,4.779575845383,4.238248128503546,4.14340077501152,5.627289164813786,4.543409401019742,5.126555299149456,4.689279898061447,4.30553575159907,3.895655478947418,5.761636338139943,3.0775355833739293,5.970111075976168,6.322490429076008,6.102838571128231,6.4402208351497165,6.1321409861815726,7.142481361122763
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Finegoldia,1.8675091626756,1.275572528032341,2.749936725106118,2.0957043236648665,4.072486089748244,4.603225772016566,3.4007390248171605,4.710969127770674,4.0509682595691965,4.881382131295818,3.1362606496651275,2.1719908768860208,1.8558526566851328,3.0924624402598964,2.7660587805374317,2.9892134666414614,2.774332769000711,3.1074609279743486,2.335521328919018,2.3508722151854617,3.5016023229485347,2.2629302224511414,3.5312669434377444,3.1556742177036816,3.0030539696516274,2.8052201635755045,3.777196768756793,3.2978047831587483,2.4027092010286677,3.0278865533648562,2.23296120348066,2.300809149937188,3.2982223514824733,3.1028921321143894,2.1100196838358345,3.0203402595328366,2.4661509153646324,3.3347587075919063,3.3456422109414152,2.4114548727062117,3.552627189729435,3.3965142933399792,3.1346817227088897,3.3477006876559354,6.650999271405225,4.098418459577974,5.813762044187717,6.795645054308866,6.137504077161737,6.158120476181892,4.880926245563088,2.391016153510896,6.178816769801563,4.109703581393904,5.659328691812347,4.278295184630413,4.369465185443996,4.3246480634600095,4.139528772301204,4.0327931434439135,4.271134704621699,3.9972354943463735,3.5442481529226924,3.2716625265396977,3.2062561266155685,3.4652133535946885,3.112603205599626,3.2257370117065154,43.549095195078266,32.35289614208089,3.90755624961084,2.234987295522944,3.683309130030827,2.2081320629151544,3.787417589243848,3.908647366601208,4.690246936649107,4.2896244495355385,3.365425532171635,3.3663973348866145,3.5477240599251565,3.3612376022280763,2.967554600804964,3.003820411164864,2.770288844695002,3.2152595838378883,3.1291763110845725,4.424773825696864,4.12118133022003,2.660112123759369,1.3390422060918878,3.568181476115724,3.2481894332320214,2.3549749860142533,3.9312804896343065,2.970650382929532,4.918400316123568,4.656758833134289,4.439551781323238,3.408597197424786,4.226835445873502,3.2061116568856414,4.45112333781055,3.719888174724793,3.16289421426063,6.203344790575961,3.2777083445856987,2.5276836860257808,3.915113814346704,4.511561546202153,4.3977679591824845,2.311728548166496,2.5708840506775164,0.1,9.376082133728566,16.297271283913428,6.752463448964317,6.000573119268565,3.868296431580621,3.198672802532218,3.406559861270632,3.3758587559795314,3.1241410263688927,3.908136825283413,3.829433202586332,4.24620786384232,3.917598728894353,3.9535480273643446,2.84316039678156,2.5299348269589723,2.476675178416372,3.4440386441694097,2.730313880454805,3.113992724247628,2.80482868892013,2.7729607712971465,2.363446536483552,3.4430360949484067,1.8608270869229435,3.566612194263956,3.786455716806707,3.682895257255621,3.8439114127495713,3.584012286478328,4.2639293573254315
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella,1.1594718633792458,0.1,2.1262304384506603,0.958684933014241,3.811182751928653,4.274959406581927,3.113690916029465,4.154935307463727,3.7258677078075535,4.507261643356311,2.4719129680980307,1.0680417541526122,0.7561891038057267,2.2290652685111385,1.840102837857989,2.7308704435039384,2.152352787818688,2.4053886502460218,1.4448608140475063,1.6818790527379712,3.1948338348491836,1.9312634299412497,3.2134501677676894,2.4852694103401665,2.361848100165097,2.613668686777748,3.5693518773174238,3.0606865790449835,2.211021742343578,2.790904658380252,2.0849553318420075,2.182850315516331,3.3169868035427945,2.8396880931511843,1.9612720218846988,2.8283044099584047,2.2995671535517452,3.1569970995994376,3.0733577256532283,2.2646124208839047,3.28187148396077,3.1738612187795483,2.9841907311170064,3.1760758690232063,6.215469237397017,3.82493426686738,5.428479495678168,6.344598222584202,5.721227594399547,5.7522317830627285,4.512381280549142,2.279635372200272,5.721509325268345,3.8103212102679915,5.092862078906854,4.0566459878998895,4.007675405659007,4.090226325237497,3.8519576947932412,3.762929823927943,3.989553521515445,3.681017748103325,3.347946921408285,3.507691608488912,3.1086486940685587,3.3461899524407817,2.9789741832808083,3.0958060089263366,0.1,27.55645612824441,3.7020755417692484,2.0945622587017905,3.1777034967236837,2.1036483733939635,3.6001996878725384,3.735402744418572,4.424046167169265,4.0456957466079695,3.2012416688570973,3.1907379656412207,3.235252327579221,3.1096377345669217,2.811173396796809,2.8643637238173407,2.61806804260048,3.0854366110408407,3.0160788248764887,4.055580292250848,3.7953391081210297,2.5186480870513432,1.2323031307894003,3.1038094713773465,2.836432391634311,2.1812292987144297,3.57802596728074,2.708164224764755,4.419012570363777,4.339845994750565,4.14396861675302,3.176288044105347,3.956791465783872,2.957789899664032,4.083093823690328,3.2797058057039883,2.753127399373968,5.679619011701533,3.0104205326548654,2.2971023332599905,3.62124647909672,4.111931824235718,4.053285906838937,2.1809330994609466,2.4224774590774785,2.3922885237784235,10.78734978591604,15.185841914847696,6.265706705473257,5.566187268027437,3.6076286979543752,2.9834027969704646,3.1712689236566263,3.119653522608949,2.928458265081745,3.7099683548283333,3.5846332876285008,4.003146782761383,3.710286585787865,3.7446873374314698,2.6889442808415223,2.384008555774576,2.330508081726073,3.161573207522893,2.554852952149968,2.8812929322060197,2.637462164499432,2.412856908658505,2.189613947520804,3.2407460482443087,1.7300553641355678,3.35805133171714,3.55584279699665,3.4310662785334487,3.622634849271875,3.4527123462020293,4.017619103602646
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,399.1422607309632,352.0897885301595,550.1011805726837,478.68883736848363,755.1444512051708,856.5146071098471,636.7717617329548,896.3393337591983,757.0114736704861,910.6087345298384,623.1602813279846,489.42274186410515,432.24020466481363,633.1783912651799,580.1583019619976,560.2575481594532,554.3290481005306,621.3761117466455,499.63619087219416,482.4747547837471,656.6649779210362,436.36240630480387,662.9873436176167,627.1924280848741,597.1487940701979,521.1992963411732,697.2888773632063,613.7918039711494,448.89634989983136,565.286014699412,414.4741087254147,423.963604437136,590.8728050697323,581.1178888718563,392.4530795643644,559.8913241117444,458.03843780441343,615.0970729059436,625.5463792877281,446.4377551993145,662.5959459265647,630.2261065951093,576.7006380856593,616.8707689620772,1234.0567128841292,760.8980546041278,1079.1232576706661,1261.4381548641707,1140.0719525218954,1142.842433979788,910.025804758038,439.5790908778737,1151.1813026226978,765.252792072626,1067.6592296992121,788.5567532521094,817.5296200604755,798.0322775465493,769.5498078303057,748.7824253539962,792.6558834575686,746.5596159475592,654.3999706587899,567.9720081626081,584.8075036848479,633.2562617064212,571.2187659859491,591.2120887774988,12706.885238367564,6243.540723580544,720.4968274704702,414.1568908760843,707.1782634933608,406.1023305012349,697.2715772740288,717.7960721480276,866.5715271976159,792.5942418771953,619.3865605865872,620.5923618461787,665.4637170374476,626.4894967053442,547.2038638575268,552.198519757985,511.38921506551696,589.3200051325748,572.3512957958973,828.1316897392733,769.692609714386,490.6282327536608,250.16421904081508,682.7890969719806,620.571225998656,438.7081394315795,738.0383153350549,557.2948110487933,928.5161393519597,865.1121171919383,824.1719550461078,633.2646330124538,783.6603222487778,598.3249752836813,832.7610455133611,707.8710211162407,605.0682322007265,1161.5564660001235,612.8923640646456,474.8443469966389,729.7971822389833,846.4590255518546,821.059199956968,427.0789031995148,475.2213757833823,3.8526725097286216,1580.742504468683,3027.8444368468768,1256.8890916867065,1117.0982572511293,718.4025972557222,594.0184272911104,633.1665528059112,629.5301803059408,578.8678991034702,719.9440445723226,709.9945178236193,784.7160472122072,722.4656361205988,729.0634460944009,524.6606285749289,467.6415480172437,458.09455437292905,644.1391701931448,506.2957027911843,580.3710627706939,518.9556659741903,530.5499535737255,440.2379482872302,636.7543650248832,346.0677625817421,659.5195666980368,700.9983119965586,684.2991364142805,710.4818292480072,655.7028808781756,788.1918685576615
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus],224.5084322896621,235.23745763809342,291.7996840103732,283.65664450496587,370.7968154508453,422.16791341024066,316.01044756199923,452.43073002762975,374.8736215119345,450.0874895777333,328.4423630482069,287.08661274946695,259.7840836857061,343.1483835502186,321.1625086240847,278.3283241850606,293.71609435059884,329.48489574496375,281.25201740243165,262.03032990479056,326.42090833198904,223.30672612299625,329.9687415540518,330.65553623491724,314.96239445552226,256.4837338999189,340.7148793634248,302.6260922961511,222.23973000778267,279.64147355526075,203.747684302058,206.7394412164204,278.96486219859537,288.4533703046414,193.35316662363982,274.83686820034166,225.31427728442088,300.27424611823744,309.95408092276705,218.83104583634514,327.4284239509547,309.6874002293856,280.7207703694207,300.80738683418105,606.3817315280003,374.13189185968605,530.4734656862469,620.1291136424945,560.8965411351245,561.6891540423328,449.53235265413076,213.80753026288508,568.2123436116314,377.4907146323334,534.1091541221595,384.64037067440165,405.3777298544239,389.7681751167221,378.93523461161277,368.21138071823,389.58114037466714,369.4779557846389,319.82023104232917,256.5839968715672,281.91483232291216,305.9372560092242,277.28017632127273,286.56621624668975,8738.423908190842,3197.654157047263,351.5904727272052,203.21807383233997,360.2993734508192,197.6040446311056,339.674521919301,348.69801687887633,423.82627691504655,387.6678325282792,301.6268078049216,302.7722383288431,330.87436780464327,309.3658015928727,267.0425228724095,268.56166109105385,249.8684926278344,285.6645068483403,276.789284113208,410.77054199512406,380.91794670212363,239.4954940612212,123.84707268172195,346.68261482880433,314.5764115262155,216.51565207332615,367.29460730539597,277.1321586142321,464.8387490275386,425.6725376011257,405.21134765643455,311.6099724985916,384.7425160320297,295.85988152087305,412.90527879030253,357.3538005921008,307.13286008053103,576.4507215247974,303.70968541222555,236.47784722705256,360.41898055584,420.9754383303867,406.1836676433187,208.8575335884978,232.5444748493124,0.30000000000000004,667.2778639173498,1489.9429658105582,619.7610681311302,550.9197967925344,353.359935305922,292.16592620226396,311.7127173729022,311.03666110370847,284.0087979419727,350.9627126070039,348.5829070125418,383.8924180904224,352.61476588201333,355.81771918401495,256.2551711894198,228.829702069832,224.31922276132585,319.2711667652876,248.6185542138224,286.57317528959237,254.210697716327,269.3475169661416,217.2446901330003,311.7609640793624,170.48035772120468,322.858912160793,343.6113833017853,336.76241418601916,347.63665815895365,317.184810363109,385.7015446978109
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Anaerococcus,32.64331614177247,54.25471240023338,32.92880978002159,49.00903075336957,24.82709205175497,29.251999873416064,23.22007200703633,37.890674026937326,27.051489300859924,31.959908791099046,35.856918662930845,48.10201131880984,46.752948168354216,42.88527166060178,43.91323592700804,20.628153625747093,32.958573356095066,37.111525574206006,41.01132222806567,33.05808608803081,24.313781833920967,20.53466908788146,24.825130181508328,36.14916043010052,34.517381933332445,17.519241901422614,21.77963923563692,21.026744751825575,16.00371279638772,20.002230201824066,13.783822312002899,12.954188711705962,11.78053309045881,21.233243761655,13.346232270532033,18.34934143856863,15.33609109588421,19.021142976240906,22.47838117933057,14.416016858318805,23.20499433438989,20.876829221352104,17.279792525630818,18.848241850212396,40.86384132134566,25.365274030910104,35.88528276750032,41.97101440612623,38.22832863440575,37.93078253019113,31.756683195924353,13.057200633134515,39.86727245535869,26.34388178972526,41.850053199853676,24.171384582053687,29.58055445847077,24.80808691762175,26.02967445634886,24.986520133874077,26.310323047566943,26.527488149706574,20.482503465689767,5.72597547049025,15.63890639679374,17.391079567343652,16.58698913136122,16.880691230972086,2128.2982627651304,295.5566235242035,22.186615362816795,13.517498672427847,32.186282437266684,12.11710885559448,21.072772609340007,21.02570089930617,27.337616663689577,25.01937758888777,18.646273975655177,19.064678155783888,24.69412140925612,21.789733736441285,16.861363728359553,16.38668949655824,15.965852696537736,16.837209545548813,15.907567382421382,30.057054283653045,27.343516440008568,15.160914032440767,8.915722992521461,30.261185695021414,27.15090500804355,15.174972803673796,27.616886489827948,20.70776946699908,36.62699276968693,29.043890594564253,27.452543156759106,21.27144899193354,25.726024098518394,21.085288156033076,30.114518322601853,29.960010705044123,26.756782857836992,42.360332386322725,22.041184533936416,17.881445186321656,25.40952155409171,31.484872362456883,29.061951156376203,13.459360371985507,15.074773284590075,0.2,10.978768085561203,101.72914090454165,43.0984830488795,38.36557209121278,24.032815498940806,19.86267383245956,21.371517061017546,22.01140496726688,18.87324020938056,21.92453874481729,23.312538929198052,24.824019423269235,22.29073922001424,22.482499613149642,16.31322958096618,14.830451201587348,14.637971992064633,23.218010677172998,16.654766796043006,20.172728993232923,16.643701029428648,23.488993618495336,15.210113901216927,20.316625592334148,11.755269197154133,21.010053480681144,22.63746738805726,23.013042552471,22.517077503049837,18.2835134966398,25.008388043888218
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,1219.7073245561487,1271.3221398097312,1613.4077945371012,1522.7662689468598,2113.2982167490727,2402.425880837146,1793.4080528755542,2550.382993605876,2129.2967511579727,2558.439581480018,1820.4867862911576,1543.874135873714,1392.0673221732636,1881.88931780944,1751.6717461161847,1578.9001100581254,1624.69553822693,1822.0348766338604,1527.6664394810678,1436.0461202128479,1851.2698622005628,1251.9981667892262,1870.474837113714,1832.566208066259,1745.2802632629928,1460.5052915520707,1945.682726037991,1721.9363551421786,1262.4544179625345,1589.0313901840766,1160.7025257539322,1181.572986065357,1615.4960575166795,1636.8763474758725,1100.502420206344,1566.5848162242999,1283.2164891047858,1715.3858902590616,1760.13741603803,1248.0685219958687,1861.373970681293,1764.4904062232574,1605.546402459737,1719.19799631797,3455.0024765024536,2131.1382824656384,3021.9897187122515,3532.6611637651445,3194.246368829545,3200.0639487361605,2555.8914583925853,1223.2294259494658,3231.6803500495726,2147.486331273692,3021.494042136313,2198.0662801672484,2301.3455315752217,2226.2034978161705,2157.243004894222,2097.329768962863,2219.5202694718905,2099.148456092682,1826.2191253282895,1511.8731229533062,1618.7332277129929,1755.112271281448,1587.6521457840718,1641.7930119855346,47519.044740036035,17922.466799736983,2008.8576232393275,1158.54021426292,2023.5727854734034,1130.343125497423,1942.1163621521607,1995.9594132175116,2419.388426360805,2212.9278786198515,1724.8205836536515,1730.0816032225837,1876.3470013661429,1759.1922866317211,1525.7448000003724,1536.5403429664245,1426.9207294282276,1636.5912149602484,1587.2520277698136,2331.653005946803,2164.1632788882557,1368.2108680368415,703.5351143053601,1949.7241445402774,1770.3020302417892,1231.482922997592,2082.122819672568,1571.4905055727395,2628.867583333901,2424.041862706661,2308.2473550705045,1774.4617853904967,2192.9086607824947,1681.4762750712891,2344.136553695675,2014.309369297429,1727.4920132606046,3271.4341180515053,1724.6192811514495,1340.1743191429066,2049.4147477430693,2387.0532027648565,2308.062119915605,1192.2972834787547,1327.1881531265008,450.1359355458532,4026.530312463656,8484.396291636527,3526.2911166320137,3134.3993461697746,2012.535397193553,1664.039839843119,1774.701787692555,1768.3079223527795,1619.193347032657,2006.0958036038,1986.794391815732,2191.197531422713,2014.5636219974122,2032.9025186617155,1463.618195434777,1306.0000558438194,1279.8871317997096,1812.8092785287815,1416.9318139700674,1629.6263827905054,1450.2329018785847,1514.876520496096,1235.6886629869605,1778.9006455391552,970.3630476371666,1842.3357657961294,1959.72896191702,1917.6010012462814,1984.116292156421,1818.699212178973,2201.273860985343
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister,1167.6220502339931,2493.066517753682,916.1439021145455,1966.9548755765177,149.1992442417394,184.45876237609767,204.40793581921417,586.8704275914894,211.21711844141842,220.72389157671398,954.7669605891181,1895.7830824276853,1919.7296156596767,1340.8893508766496,1494.0506073479544,191.23610080665864,910.3517556082477,1030.0318639197874,1470.1764249856378,1043.5797658100737,231.95884660199312,405.72236030998647,250.12524962626117,964.4060287825516,923.9462550679781,108.36290090392885,121.78905401593306,133.11194998251554,123.09864522474052,146.3427250322217,84.12778260633273,70.06611917036683,14.539888529672012,188.9911713630849,83.77757623822112,109.83294168915664,94.40423780976684,104.77550479962805,181.70505130341613,84.59465470093353,157.7150670176137,126.72224453918685,90.5084963865694,101.89829564889412,247.82568210083008,155.20703998285612,218.8433518018157,256.1206518156784,235.6123262166521,230.7346309216581,210.07951719298455,67.42099431325734,255.58470630862132,167.7282749558907,510.3887069947274,131.31017779600802,249.16282910504623,137.7199893825142,162.21886801310959,153.08811061442842,160.0947007443034,199.65159823659226,114.8972639290259,5.017991132955013,65.48449943895004,77.27417404343221,82.27137043768775,81.14330848308863,99758.38353324911,5905.326934152547,121.40158988285008,80.49325285107153,594.7312158006722,63.051981795442465,111.92679333447164,105.90316002379294,155.10727676348563,142.09118100852976,98.42132152729084,103.94632476272649,238.20207968242252,140.45676975225996,92.38045099400402,84.44875647736995,89.24501066056295,81.03109738969238,72.49155005446609,257.73201996376025,205.49575831227568,83.43770847118445,68.43221917690185,527.3810963972695,459.0507844846418,97.20960586470709,277.37782010884257,201.0689391406981,457.15068790618415,179.30586359465278,167.797783190192,131.43604696955924,154.2908638392654,149.9536752943703,252.81928028619862,465.5641840044778,463.91256347343483,373.0873748170778,179.0357929427015,184.96063767386056,165.15097683762997,307.26194901078065,213.0966992848216,76.30298419142643,86.26377848365934,0.4,12.659656902075696,628.3872641045377,273.0478544437545,243.53501780365025,147.71932175527598,122.03347576740265,132.85849042454012,147.7997482752926,112.18392676154879,117.88793579557962,139.86383373193394,141.42420629930268,122.34021210972874,123.29175231612815,90.62375921106123,84.83532724395178,84.64488284097084,191.21561638144127,100.19301642782358,129.9297804611022,96.72832737546796,408.35840096753935,97.30011979019218,117.1956952337748,73.6986173065897,120.92242886933514,132.79311790023218,142.4019458938718,128.6329823889132,83.86203011506545,143.08888166311192
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes,22.347173169767142,18.478339561713472,31.383838379469022,26.32273754645821,44.06971918680984,49.93265843106675,37.050787981061184,51.90142325275519,44.07379888169485,53.04448911414687,35.622007760680155,27.01025096004044,23.647372862198754,35.881843016361515,32.65326268034001,32.58917173945162,31.635870470381967,35.454208292696755,27.9663899547727,27.3231326271185,38.19042401329833,25.16576339971448,38.544677808687055,35.849578889799474,34.12747972477452,30.398237160152622,40.74884034028725,35.77940848799903,26.136909833255853,32.92099491427311,24.180813954461136,24.789968548138038,34.85365814101439,33.81048201237286,22.881794798481394,32.67770851354913,26.71738063087675,35.954909830864736,36.4137500747411,26.066491493248268,38.59976797996986,36.7719706026423,33.73734427852734,36.06963251538694,72.00458462835844,44.388572633427934,62.95718578022851,73.59251283273288,66.49766260542322,66.67818969635327,53.019394298795135,25.72117606998014,67.08423870804558,44.60220423942683,61.98066287955012,46.1046953570239,47.57944329121528,46.64191382648426,44.875060183500956,43.680563573100294,46.246741265913016,43.472581293013604,38.240396885638255,33.78265105211784,34.30294077211899,37.12265301358583,33.44227921652838,34.626707100965795,658.6264296869558,359.99109778880273,42.120503883647736,24.17470893148272,40.83715440578835,23.759711200549766,40.78207710724227,42.01487375025288,50.62842851940314,46.30563994103611,36.23025575372584,36.28226046135834,38.69949718315039,36.503683787506105,31.98919934292377,32.311661806977504,29.88540840375355,34.51537846371107,33.543121527755616,48.19196981000357,44.81991716070303,28.67974510058051,14.565909658567056,39.468282246138074,35.888914984547746,25.56627473300982,42.908878076578205,32.40768508209419,53.891806081028264,50.45819944969881,48.08085544681033,36.935006744491055,45.735757346851514,34.84928014965969,48.46672938900977,40.98663324576431,34.97856689778321,67.58538410525357,35.676296641990476,27.6015358269395,42.521822612554274,49.22152594625963,47.816199391518204,24.95224710789921,27.760227599603976,1.8842411026876733,94.1446179154414,176.59715997065484,73.2651130316108,65.11365577648596,41.90543052591094,34.650368858386265,36.92427447962979,36.675235046331224,33.790017273367475,42.10006999730562,41.436261336845774,45.842787360252984,42.23349208193848,42.61975562951884,30.664232100154518,27.317637265760737,26.75459483704988,37.49258948081828,29.546631272761108,33.817128578287466,30.30617628498508,30.66938491105309,25.65628815850777,37.19052490761303,20.1779763428556,38.521754917903856,40.92964007740336,39.910256316672736,41.50404701645043,38.425133662877776,46.04223532617775
