,2012-01-12,2012-01-12.1,2012-01-14,2012-01-22,2012-01-22.1,2012-01-23,2012-01-24,2012-01-26,2012-01-26.1,2012-01-27,2012-01-28,2012-01-29,2012-01-29.1,2012-01-30,2012-01-31,2012-02-01,2012-02-02,2012-02-02.1,2012-02-04,2012-02-06,2012-02-07,2012-02-07.1,2012-02-09,2012-02-12,2012-02-13,2012-02-17,2012-02-17.1,2012-02-19,2012-02-19.1,2012-02-21,2012-02-22,2012-02-24,2012-02-26,2012-02-26.1,2012-02-28,2012-02-29,2012-02-29.1,2012-03-01,2012-03-04,2012-03-05,2012-03-05.1,2012-03-08,2012-03-09,2012-03-11,2012-03-14,2012-03-15,2012-03-22,2012-03-22.1,2012-03-28,2012-03-29,2012-04-01,2012-04-03,2012-04-03.1,2012-04-04,2012-04-07,2012-04-10,2012-04-10.1,2012-04-15,2012-04-15.1,2012-04-16,2012-04-17,2012-04-20,2012-04-22,2012-04-23,2012-04-23.1,2012-04-24,2012-04-28,2012-04-29
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,11385.132985671344,7836.281595074781,11101.954525651103,13385.411722200148,7758.204437781003,9837.246381158226,11225.51147384052,13196.004427998356,13323.350484474531,12590.727672736317,5629.736329568421,8226.654174048563,7768.7445387006555,11625.819138170871,11682.124814744739,13746.119981257183,7823.2142680024435,12884.728511600808,11125.21114740517,8443.159257627813,12403.596872475307,10889.524634237083,11567.74372005554,9127.175049753056,12954.754270197605,9383.715238821611,8616.754774090425,9099.676443392436,9535.090913993752,9067.682803562262,13152.941120126285,8932.872147817761,9670.295845773495,9551.588984192054,8156.368186991926,13695.687755859915,9336.583480414722,10208.295056230323,12127.971733519778,5668.993325632581,10446.495348159237,7412.532904048018,12442.037636652933,9395.184301873885,10217.627619670793,6920.64830598586,10161.454508527624,8862.03762521073,9964.270964650985,11985.872638962546,11311.866374625724,12991.057077909927,11626.928475151455,11424.10795135101,8826.179629614147,11065.226871896906,11219.778520851605,11068.558221479238,12963.597764642716,11062.741864777146,10705.031137367103,11007.337141248627,10403.732586639366,7116.62356018676,9391.30133413753,222409.34041030004,0.1,9373.458584109789
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,1883.9501389898332,1407.5664088716544,3197.1626655636987,3753.378346002327,617.0122565330748,1496.9421054747565,3242.5143973928784,3683.3068796949706,3704.5915084399794,3496.1599905238772,1450.9944587718048,2418.754148491514,1388.7467080192648,3293.2615699233957,3140.926565954557,3845.4777409448293,2229.9154733202963,3604.742032249072,3221.670005277703,2456.627212055544,3535.879496750598,2942.821531086944,3360.4129473665075,2678.51291624808,3622.3540061769013,2127.8197432192537,2478.9691654984604,2074.4315350967217,2776.7130469718686,2328.846196874981,3688.3997388516136,1180.9660342441734,2837.8794188016896,2755.1285165813947,2392.1141372412258,3857.141326259653,2632.7515801261616,2724.1254704160297,3396.9650339670984,1694.8532663140215,2820.4225891601873,2219.7123613285826,3075.2079151633893,2659.2818544628044,2582.80283012486,2004.6236982799078,2890.1576603417175,2611.5160097778203,2872.28761068692,3400.898396335814,2646.811824447098,3471.051534116071,3307.241680610742,3225.559436067315,2530.8165591852407,3118.291559978498,3242.2730970149178,3220.0976180213975,3619.537422638847,3161.054933163402,3119.5820054015544,3078.862174337102,3001.83016268766,4320.284104183738,1962.941598180529,55224.25591432668,0.1,2365.546280502546
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__,362.8752551698525,466.596078307074,3014.006032154428,3435.642467671647,0.1,57.567748656585444,3066.658029877105,3353.85496250437,3358.3286605755284,3164.42187018926,1195.3584492701877,2330.470688614922,449.4925608967044,3049.1131322444076,2734.73313140352,3510.532405804353,2078.8370602537248,3291.013897770561,3055.154035483245,2341.374964138235,3296.7097211251503,2578.52394021595,3197.399296689534,2575.7791927191856,3305.029079515841,1423.828484739129,2334.4220965751683,1402.283080267638,2648.827380675948,1909.2264274726701,3376.380990937677,0.1,2729.0125228202805,2601.796534651081,2298.8735450032787,3548.060172121759,2425.1740327956995,2349.545362291367,3105.4290427418446,1660.866278447397,2468.3907533151246,2178.708692014713,2384.4684164233922,2459.966018450792,2070.4101134373113,1901.5390778899405,2687.953899589097,2522.1015996706433,2710.5358111066807,3154.5836952374893,1876.3300197639803,2998.5050023120807,3076.1330771233456,2975.5497989074897,2374.7245468646274,2870.4587769984823,3067.858822100074,3068.608696914739,3296.93980017749,2954.8245050548067,2978.0799943088273,2810.230006449392,2835.682113875903,6373.545823673154,1099.1307289321292,43118.64854288968,0.1,1891.7892396692498
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium,2071.7301404657646,1438.595811326582,2175.31008159832,2611.167519865777,1335.7029385802487,1775.1389592271303,2200.6339229448954,2572.2845568758116,2595.4816551641497,2452.2228835553624,1083.6688186628753,1617.5851270230244,1425.4344626274828,2271.7101525280796,2263.5203611225706,2680.5012412258993,1530.2493917200643,2512.5566238840065,2181.8980945716944,1657.2155763492713,2426.2323223273547,2111.657176302902,2269.896536961808,1794.0810975429083,2525.9861358915045,1773.1180831881486,1688.0763809540815,1720.703698830799,1871.8099712364544,1744.5003742213642,2565.841898563986,1591.6032161893513,1900.8371385302971,1872.0391400655337,1603.0835699771014,2673.6060970667518,1823.016021057231,1975.6098397574112,2365.4363322428217,1117.882378705202,2025.4416735275447,1462.1050965251563,2379.9645756651416,1835.599253884957,1961.0148046106167,1357.3506637062917,1986.905456120905,1743.1974557983056,1952.707525847611,2342.7090518052223,2146.7811907844866,2514.6517022905928,2273.4854434744225,2231.0906786412274,1728.1457728272574,2160.3250740934914,2199.67137943874,2172.478879356699,2527.107261299766,2164.7967279431045,2101.7255898667836,2146.386738263536,2039.1558483531558,1653.403072828473,1755.5518172489844,42572.229852923825,0.1,1798.5567866493043
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__,11162.593064932287,6776.925851335781,0.1,548.5398856891196,13056.799971201068,10714.718212470469,0.1,679.4108274196166,802.5340492087928,797.0176570980944,1273.9586559957247,0.1,6773.191660251572,204.33885079343568,1580.897415087819,637.2654621459988,24.51362413756062,595.3813383678631,0.1,0.1,35.7624626226366,1351.0414985268862,0.1,0.1,614.7938250075473,4499.778912006599,0.1,4273.499827998811,0.1,2119.2578873428224,537.3126031008105,11187.571852549834,0.1,0.1,0.1,424.26570395473556,262.47809714015733,1549.3310975207762,528.209078583314,0.1,1317.9268441637028,0.1,3891.0010321260443,182.33694865107975,2726.283311738318,0.1,82.89363271320879,0.1,0.1,164.53304198784352,4755.985836566026,1936.2446925935046,92.65281461071908,287.13712518675123,0.1,326.66243369198344,0.1,0.1,658.4490592593708,0.1,0.1,513.9006232604838,0.1,0.1,5865.200488580007,67486.4314807733,631.0877500468608,2532.6601065445175
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,538.7290053632895,467.1193305261685,1706.973246586157,1969.985668693069,0.1,351.7820660121073,1734.4585512999254,1927.3746991027665,1933.5848098990753,1823.1569226836639,717.6655387764764,1307.9991364402174,457.28235375577253,1739.9395926243308,1602.1588547254796,2015.2132005197059,1182.844886897732,1889.1385008806144,1726.022433184822,1320.0222952435481,1875.713906983896,1506.487380371364,1803.882614665526,1446.8273355447877,1897.6861634210409,943.6368699561481,1322.6903819771494,924.6474439941643,1492.8021996721557,1148.77119693763,1935.952769595067,164.48334697180863,1532.9040074517693,1472.4581443244672,1291.632921425514,2030.2106975314034,1386.872529120058,1382.1848118556563,1781.6069244466255,925.7463219277697,1442.8749394815145,1213.5894545133392,1471.7702321535862,1404.270407013935,1258.5021607119888,1074.1592054766425,1530.9529177549737,1414.191546371346,1534.4450696847991,1798.729352951103,1208.5773829738246,1762.7317237537884,1751.978662621571,1700.573801230317,1347.5374505300897,1641.991511756045,1734.8018352803952,1730.1203525218318,1894.3861552075755,1679.3844385352836,1677.8525932621258,1613.3181716810286,1604.6080436014652,3067.1272664026546,799.6573985001547,26528.60151787056,0.1,1151.1653353514587
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister,512.6542095647537,381.4909705048724,851.214919202196,1000.1068106399251,177.10926788415213,409.1505788711778,863.2118583315488,981.5741557682726,987.3631281570208,931.8499249553618,387.66520591627807,643.5769955289177,376.475401403507,877.2350175829334,838.0149825678429,1024.7209009274743,593.877099088099,960.5690775701963,857.5984179952642,653.8546125909284,941.6819131539786,785.0320629749716,894.4477419935931,712.7319861322507,965.2783743733751,571.0721370706366,660.0224064017984,556.6325384325285,739.0298207393719,622.2757192538511,982.7912334556084,325.4656303466191,755.1383668164763,733.4921605832111,636.535126403949,1027.6183802097366,701.3902884924086,726.9849552171343,905.1697774489435,450.74462244558526,752.4033231509732,590.3029193561202,822.7764950553093,708.3771038873532,690.5020927117524,533.620393831079,769.7646612246219,694.8204092229752,764.698063655064,905.8609909451047,709.5369195337685,926.2793267574316,880.8486706902468,859.2862481470439,673.8934649106166,830.758255854153,863.1364259443395,857.0627751586213,964.5710529483606,841.7985233813363,830.2682999002899,820.4411746111678,799.1638715942759,1132.2125112439905,528.5008032697475,14772.993345672538,0.1,632.4543929768529
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia,319.6827441746861,259.1893821275384,792.0915800017926,919.2037625390832,0.1,229.99728757770404,804.3574885042201,900.2066716899009,903.8573257062687,852.487711017901,341.52846549182635,604.4747407683133,254.59323412453125,810.1255775174457,754.613060854344,940.7793589158671,550.0295695392829,881.9103154437508,800.0410880911817,611.2769452867498,872.1982935706806,708.7118189439402,835.6060402652831,668.8743424359697,886.0043409842843,466.58666462418836,613.8966873328295,456.3553384963664,691.1712028679833,547.1828884627421,903.3130054711,145.85944312373616,708.6689581744206,683.0468596038974,597.2000271007435,946.4301451372585,646.3534100535766,652.1563617440096,831.5046868640111,426.46432352671616,678.9344456908381,558.8961286943432,708.3276151658769,653.9441812626699,601.9595934446864,497.86537678122136,712.2191484141919,653.2626619208737,711.8950676000563,837.208681808438,591.3406599063334,831.4638805609283,815.029493184135,792.3389078920854,625.8494386684802,765.3505121488064,804.4463429882964,801.2059833722872,884.7410298380743,780.5294568809686,776.7434766474835,753.1823441924497,744.3038052296537,1309.7769592625773,408.12341747282045,12751.148293162616,0.1,550.860143146633
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,755.303091483907,518.7434686121381,722.7191474911052,872.3969500878344,521.4526265242193,653.9421386347462,730.66339395589,860.2243466856079,868.6704819843909,820.9520553211509,368.213983642272,535.0383368150967,514.3405276280556,757.3774525267585,762.7527542533022,895.9979553117375,509.5121241424353,839.8484186327613,724.0524395833781,549.3807722925902,807.8204993158022,710.8499154912524,752.7459378323382,593.6564668190817,844.432892875,616.6929285931885,560.9620635174691,597.9142558048939,620.4066368519935,593.1570853848856,857.2435204730194,595.6322129357615,628.9827424290194,621.747802584934,530.5277488394132,892.4492380747416,608.3646370332023,666.7313808211702,790.4817628244939,368.41035837890445,681.95682544361,481.6811394673114,815.1086223907605,612.0815148300716,668.7998601383674,450.4052294110738,661.86094170825,576.3015193239168,648.62982971325,780.7762981818877,742.5804828300147,848.4371273335831,757.311085078898,744.3439037335681,574.6811370507821,721.0210631236583,730.2758871726617,720.2148664388656,845.0629996766354,720.4182105273684,696.5075053338655,717.4834115906123,677.2077777453093,440.243698279864,618.8815775382793,14568.019145838094,0.1,613.5836015110383
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,758.1759792739715,520.5864289213657,723.8714578450342,873.9091927617918,524.2187865289764,656.5831235029149,731.8166828749864,861.7357552822596,870.2137675065367,822.4162066679488,369.0047678516961,535.8320368388171,516.1757144401902,758.6505401418345,764.2360572167163,897.5619183652992,510.35204608727406,841.3140876760499,725.1855689243923,550.226622502564,809.1517234445104,712.2143946726,753.9112957555807,594.5431197064814,845.9089271446109,618.3635182459163,561.8594586501841,599.520916430782,621.3589968717013,594.4407693230622,858.7292470779284,598.2466643597104,629.9221816519599,622.7338076742906,531.3219124835072,893.9762139998152,609.4016343078946,668.052451897512,791.856571892797,368.92324017806806,683.2690335264379,482.34740294511107,817.0158353758935,613.1128884095249,670.2965159622735,451.1094800065994,662.9594767539951,577.1493059996114,649.6607126601353,782.0819700543354,744.4951932081117,850.1130641024698,758.5677239607245,745.6077109915665,575.6105309452784,722.2523698447892,731.4268717677605,721.3242397583366,846.5464550419097,721.5965399158426,697.5740862832433,718.7363046164168,678.2806539053271,438.22892443900287,620.7555224735027,14601.805074252203,0.1,614.9612956471215
