,2012-01-12,2012-01-12.1,2012-01-14,2012-01-22,2012-01-22.1,2012-01-23,2012-01-24,2012-01-26,2012-01-26.1,2012-01-27,2012-01-28,2012-01-29,2012-01-29.1,2012-01-30,2012-01-31,2012-02-01,2012-02-02,2012-02-02.1,2012-02-04,2012-02-06,2012-02-07,2012-02-07.1,2012-02-09,2012-02-12,2012-02-13,2012-02-17,2012-02-17.1,2012-02-19,2012-02-19.1,2012-02-21,2012-02-22,2012-02-24,2012-02-26,2012-02-26.1,2012-02-28,2012-02-29,2012-02-29.1,2012-03-01,2012-03-04,2012-03-05,2012-03-05.1,2012-03-08,2012-03-09,2012-03-11,2012-03-14,2012-03-15,2012-03-22,2012-03-22.1,2012-03-28,2012-03-29,2012-04-01,2012-04-03,2012-04-03.1,2012-04-04,2012-04-07,2012-04-10,2012-04-10.1,2012-04-15,2012-04-15.1,2012-04-16,2012-04-17,2012-04-20,2012-04-22,2012-04-23,2012-04-23.1,2012-04-24,2012-04-28,2012-04-29
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,1883.9501389898328,1407.5664088716544,3197.1626655636987,3753.3783460023274,617.0122565330747,1496.9421054747565,3242.5143973928784,3683.3068796949706,3704.5915084399794,3496.159990523877,1450.9944587718048,2418.754148491514,1388.7467080192648,3293.261569923396,3140.9265659545567,3845.4777409448293,2229.9154733202968,3604.742032249072,3221.6700052777032,2456.627212055544,3535.8794967505983,2942.821531086944,3360.4129473665075,2678.5129162480803,3622.3540061769013,2127.8197432192537,2478.9691654984604,2074.4315350967213,2776.713046971869,2328.846196874981,3688.3997388516136,1180.9660342441734,2837.8794188016896,2755.128516581395,2392.1141372412258,3857.1413262596525,2632.7515801261616,2724.125470416029,3396.9650339670984,1694.8532663140215,2820.4225891601873,2219.7123613285826,3075.2079151633893,2659.2818544628044,2582.80283012486,2004.6236982799082,2890.157660341717,2611.5160097778203,2872.2876106869203,3400.898396335814,2646.811824447098,3471.0515341160713,3307.241680610742,3225.559436067315,2530.816559185241,3118.291559978498,3242.2730970149178,3220.097618021397,3619.537422638847,3161.054933163402,3119.5820054015544,3078.8621743371023,3001.83016268766,4320.284104183738,1962.941598180529,55224.25591432668,0.1,2365.546280502546
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira,317.15775931093566,217.96845692635983,305.2416378130501,368.32414767254954,218.09624849585808,274.4255457929437,308.60983212452254,363.1624825118,366.70935713570987,346.5587754064267,155.29046584593272,226.04000708680093,216.10970084034287,319.8071578779968,321.85437458670606,378.27648506933684,215.1628201200313,354.57133406976743,305.82832464926895,232.06516763158265,341.13651949871894,299.9730224525549,317.9620274251825,250.7980345206544,356.50421433500287,259.70099406796896,236.91995407057826,251.80738649330658,262.0705094632945,250.14706050144267,361.9266767173932,249.7247622225869,265.722059791569,262.602101687805,224.12648471524938,376.81233323900665,256.869690568725,281.3096914808577,333.7346836588244,155.68115509267045,287.7768399045163,203.55136624190553,343.59039013282865,258.45229613431974,281.99274097559163,190.24475342352756,279.49022335862827,243.48052726741298,273.95353969582897,329.6949238578093,312.82180056363103,357.9813480194197,319.7972053077413,314.28969548541613,242.703027895166,304.4340718028648,308.4480334992005,304.2270289165033,356.7632433955979,304.23699402128614,294.2197085788436,302.90982169145514,286.0274346374024,188.942760273946,260.40429077190873,6141.147791277232,0.1,258.7062692075808
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,538.7290053632895,467.11933052616854,1706.9732465861568,1969.9856686930689,0.1,351.7820660121073,1734.4585512999256,1927.3746991027665,1933.5848098990757,1823.1569226836639,717.6655387764764,1307.9991364402174,457.2823537557725,1739.9395926243308,1602.1588547254794,2015.2132005197054,1182.8448868977318,1889.1385008806146,1726.0224331848221,1320.022295243548,1875.7139069838959,1506.4873803713642,1803.882614665526,1446.8273355447875,1897.6861634210406,943.6368699561481,1322.6903819771494,924.6474439941644,1492.8021996721554,1148.77119693763,1935.9527695950671,164.48334697180863,1532.904007451769,1472.4581443244672,1291.632921425514,2030.2106975314034,1386.872529120058,1382.1848118556563,1781.6069244466253,925.7463219277696,1442.8749394815145,1213.5894545133392,1471.7702321535862,1404.270407013935,1258.5021607119886,1074.1592054766422,1530.9529177549734,1414.191546371346,1534.4450696847991,1798.729352951103,1208.5773829738246,1762.7317237537884,1751.978662621571,1700.573801230317,1347.5374505300895,1641.991511756045,1734.8018352803952,1730.1203525218316,1894.3861552075755,1679.3844385352836,1677.8525932621258,1613.3181716810284,1604.6080436014652,3067.1272664026546,799.6573985001547,26528.60151787056,0.1,1151.1653353514587
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes,24.228183851674103,17.27860866660027,31.018100885078482,36.84688927056893,12.885699893976927,20.22285388690836,31.416412032987328,36.23331046093302,36.50546262504445,34.47242839209817,14.803622300119937,23.25444654655405,17.093337717717212,32.18407476437521,31.425251634924845,37.790664849749824,21.73235244358265,35.423834834282346,31.17988202113557,23.7263073055688,34.458404761945985,29.374655799268588,32.477716174401486,25.77275025526293,35.60559900318525,23.094704681418428,24.06103008942049,22.455538678552188,26.807686636141142,23.799076487827268,36.20808318323694,17.394252103196855,27.306267831127567,26.71063609164545,23.023291629354674,37.79209841942603,25.78130514585284,27.348973084033986,33.364706381056216,16.177325700327962,28.16504759796623,21.172317553993906,32.00169858443411,25.997506813330173,26.592293853136038,19.398878075742694,28.193875115757518,25.082838346489826,27.854477892483363,33.21149809029881,28.28462688472951,34.827811907137196,32.26142527119353,31.56825725784804,24.60014796198952,30.544279801767825,31.408056770318275,31.101729782444657,35.60115514913629,30.773662814121145,30.108745364052638,30.25883993345237,29.098531143356787,32.226207797274576,22.20784601559857,573.4256528041886,0.1,24.374242592570944
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,235.8814528120081,143.03544679141706,0.1,9.223626380367143,276.9349666741954,226.61864598458985,0.1,12.048723685246037,14.650165879787455,14.667807761331842,26.121123591842967,0.1,142.96830295513203,2.210198578988058,31.54763575766571,11.04863960824496,0.1,10.314703963912166,0.1,0.1,0.1,26.793496089425823,0.1,0.1,10.715645101842837,94.20165814062763,0.1,89.42988980392063,0.1,43.50797895824497,9.02718043668012,236.86670615397202,0.1,0.1,0.1,6.516856473869063,3.8723272029296254,31.146735229100837,9.022315899821095,0.1,26.16928900603148,0.1,80.65809118349655,2.1529226986784407,56.23729428567496,0.1,0.1,0.1,0.1,1.2950805980697857,99.30795921712144,38.881894808873284,0.1,4.012671899648252,0.1,4.921593253876988,0.1,0.1,11.64472951143008,0.1,0.1,8.924144527929117,0.1,0.1,123.31065209150115,1397.7321943636905,67.03102894124268,52.26514572513122
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea,63.69154389718722,45.4692819764466,82.11668084807451,97.51501205611211,33.59197183937253,53.10685777281728,83.17431112898305,95.88563095011429,96.60115988091928,91.21976925080195,39.135912636990426,61.5793411159495,44.97900250870469,85.18580075780798,83.12257005356588,100.00974699331181,57.526357602053594,93.74621292242114,82.55071852122983,62.820644707685226,91.21282177461235,77.70358466372254,85.99022135141381,68.24638345263905,94.2265882063806,60.955228143027675,63.69786882414114,59.272272149465806,70.98003959854282,62.91411623559175,95.82448467947629,45.60057284516514,72.30713972617905,70.71461976124714,60.96532343946849,100.02198454185226,68.23483702653665,72.33357575357752,88.29819262170498,42.847598453573546,74.50296457541872,56.078571542408035,84.55690600928166,68.81031726355776,70.28393201619156,51.35993016057081,74.62822698351988,66.42294173082294,73.74225946447353,87.90705283819058,74.68322485183471,92.11534264816729,85.39498088054906,83.55239911538166,65.12238996167285,80.8402796549893,83.1526460406362,82.34857269912959,94.21309457520563,81.46156049270553,79.72111173604213,80.07727513435904,77.03670288516378,86.04707799470842,58.553518256492964,1515.2300040041916,0.1,64.42024213300475
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,149.64215896341818,84.11729407478542,0.1,0.1,215.52497151595435,151.58527607733137,0.1,0.1,0.1,0.1,0.1,0.1,84.53141715662981,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,25.402599682606336,0.1,22.757024216574894,0.1,0.1,0.1,168.0242604255,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,16.69639305196194,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,53.79542567415373,0.1,2126.993601914743,0.1
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Anaerococcus,96.84459753690207,57.00112742953096,0.1,0.1,124.06978835664148,95.07701958454977,0.1,0.1,0.1,0.1,2.646133291353632,0.1,57.092445238006704,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,29.73229387743368,0.1,27.87250888168789,0.1,4.979443488951164,0.1,101.87130125797079,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,17.308205405261493,0.1,9.215416343048735,0.1,0.1,0.1,0.1,0.1,28.71929501945896,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,44.26722816199533,287.36231276389736,570.1115404882455,8.790977775973621
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania,5.425601890736637,3.7922065894663017,5.999942954670272,7.181145093283242,3.3494550728752954,4.619703180599535,6.071813019494411,7.070685031145341,7.1314825904627845,6.736873925222247,2.9537396280046555,4.47189544290748,3.756035268922944,6.254500181278222,6.19702959138224,7.369943971114952,4.2159698739962455,6.908235762770373,6.021799776463427,4.576138776308941,6.68455931433342,5.7843998233602765,6.266856047949648,4.958794800284132,6.9447484704531774,4.7717191291950165,4.655536818941713,4.633029138062263,5.169198269226592,4.753223133666818,7.056535338789635,4.10198217208686,5.253861502181098,5.164380183702859,4.430572972304585,7.356345218884221,5.016652493750295,5.4044945625884,6.5045500371191265,3.0962345548721744,5.547673258844979,4.05037843899637,6.45931639157712,5.053357542368167,5.334435537685428,3.7462472767883184,5.4728021784030245,4.820384095907929,5.386530932912632,6.4511464550499245,5.794848874706108,6.880010138186236,6.262223866405876,6.140474094199267,4.764304804962063,5.9444777747094815,6.0694498660491245,5.998870679549787,6.946730812345713,5.965809495094592,5.804582603712713,5.901323223309244,5.625590659755561,5.030366546855673,4.688694116370475,115.59631070779032,0.1,4.8916930738277715
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__,3.7318290867312016,2.7739054017210103,6.157952472549589,7.236763738371266,1.3080819178462184,2.98207739703746,6.244580036465996,7.102950235215354,7.145084650360649,6.743442639908039,2.8073138134006745,4.65501243449419,2.7376107774277227,6.347098102066628,6.066163322433933,7.415025012853015,4.296672844013522,6.950809298540097,6.203837335635314,4.7297698004785405,6.813017934918253,5.682368488632879,6.470229346895218,5.155294016199953,6.984920167391289,4.140840206022701,4.7748480656741785,4.035908548099075,5.345860296980513,4.506419846308257,7.111464839844578,2.3775954604471456,5.462025868500207,5.306235878497619,4.604175486090439,7.435552007790187,5.07500359915869,5.262811084265612,6.5498651882326255,3.2597933664969365,5.446236082369047,4.269024040446824,5.960642306943575,5.125388287064896,5.001270909668106,3.8601828744518825,5.569315685434159,5.025560934821996,5.532017007639903,6.554121793877049,5.143138996499864,6.705471429154012,6.373013850594384,6.217410556464932,4.875335947933313,6.011095170779178,6.244010958028295,6.199717848719412,6.979892126781555,6.090242863900372,6.0058091001585545,5.936835612881828,5.781303831639312,8.153118480295745,3.8356364296576304,107.01876868270786,0.1,4.5809072051437
