,1015.1.23.M03.S.11A,1015.1.31.M02.S,1015.2.07.M02.S,1015.2.09.M02.SA,1015.2.02.M02.S,1015.2.22.M02.SB,1015.2.17.M02.S,1015.2.25.M02.S,1015.2.29.M02.S,1015.2.10.M02.SA,1015.2.01.M02.S,1015.3.4.M02.S,1015.3.8.M02.S,1015.2.03.M02.S,1015.1.27.M02.S430P,1015.2.16.M02.SB,1015.1.30.M02.S630P,1015.2.11.M02.S,1015.3.6.M02.S,1015.2.24.M02.S,1015.2.20.M02.SB,1015.2.06.M02.S,1015.1.19.M02.S4P,1015.2.13.M02.S,1015.2.20.M02.SA,1015.3.5.M02.S,1015.1.28.M02.S11P,1015.2.18.M02.S,1015.1.24.M02.S5P,1015.1.24.M02.S1030A,1015.2.05.M02.S,1015.2.09.M02.SB,1015.2.27.M02.S,1015.1.25.M02.S345P,1015.1.26.M02.S850P,1015.1.20.M02.S750P,1015.1.29.M02.S4P,1015.2.19.M02.S,1015.2.02.M02.RH.b,1015.1.21.M02.S140P,1015.1.22.M02.S645P,1015.2.08.M02.S,1015.1.23.M02.S430P,1015.3.1.M02.S,1015.2.16.M02.SA,1015.2.21.M02.S,1015.2.22.M02.SA,1015.2.10.M02.SB
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium],13.612941535201328,16.90706354946967,13.380533152531227,11.949222281716967,13.643577035077545,13.14113055453619,11.016445156708551,11.285876237375511,11.32727477158284,15.307837816811507,15.270602065548033,13.591069200732045,14.356306255302856,14.07351363612907,3.2896817129081484,12.938303844305347,1.5674965071510607,13.26431692114395,15.832638967442255,20.978679496317547,9.66672008806178,10.464073105586747,4.257357551339069,12.000247693527882,10.827833094516311,15.847370357296539,0.6158897891455327,14.394520874542206,15.8581564002327,6.80898393742091,7.782474685620843,15.39652349393744,14.288143544605449,15.00282193657222,11.46867360582016,1.2547297838429117,0.7144057732075588,11.1901594526551,0.1,3.062932917077071,4.187510406336468,1.941817556816601,13.252188638801133,10.929727256949482,12.435793086321487,10.913071699638493,12.039380700658974,11.416577047887115
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus,593.3904239492148,737.8783362132815,583.1513003270951,521.5715357143426,595.5607814548314,573.5541013614998,481.1408394105628,492.8523825199614,494.53891814294906,668.1737506845757,666.4942435659802,593.3661402130635,617.7572951357288,614.3340739035364,151.50024764127278,564.6792627139763,78.82337769186337,578.9237686212921,690.5523531707689,371.3869182058962,422.30093469161653,456.5789059885855,192.2050376219176,523.7905461302416,472.9438054537329,692.1321883091717,38.00996617040264,628.3434145194461,692.4428975246296,298.89106904354026,341.0665500851922,671.9815811842932,623.6217051572012,654.883500839385,502.7356934439957,65.02012358952382,45.51608675244795,488.96297193867264,0.1,144.1051500579512,188.44495706375469,0.1,578.8305782775512,477.31536538562864,542.7460937155379,476.54184364169225,525.5087603442155,498.54841381222803
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__,1683.7288018289562,2086.0243065873074,1655.6047392120634,1473.919732441839,1682.7304268732073,1621.1866801053745,1357.2340511183088,1390.7481129592554,1396.5453238698954,1888.1886182009664,1883.9064430852482,1675.6959028803433,1821.7534277934135,1735.72240812102,360.42820417650483,1596.2924694036715,133.69416587834348,1636.4233667996061,1955.952141092672,5708.736394623423,1190.3216945680983,1291.6883154507045,488.5814245481408,1480.2606490006342,1333.764358354932,1952.397544899368,12.167665114408631,1775.3314011686707,1954.645937823563,830.2124926782118,952.1054856011136,1899.4903142296162,1762.6597110334455,1850.4312419766666,1402.376264593856,95.98238228693457,5.936494996991954,1377.2871655147508,0.1,318.1112675297405,484.04455697875886,3051.9122397124406,1632.4262351350196,1346.7687407722306,1534.303198878147,1344.9810634923813,1485.0297501232315,1406.9210643228455
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,1639.0509317498181,2036.2395822617373,1610.9999191958334,1439.174538578818,1643.2644169182447,1582.7019391793142,1327.0086427616134,1359.4284433936118,1364.33879124933,1843.6903351425706,1839.1715566690248,1637.0014745010922,1723.5031473637875,1695.0507437030246,401.1836608624112,1558.2597034761807,195.33043004965214,1597.5340255236838,1906.5656553166311,2184.5345996255937,1164.493268230283,1260.196699184101,516.7675372329852,1445.314929796836,1304.3144815123387,1908.928806908741,81.17275009835174,1733.7116823330537,1910.1272537097782,821.1395194454938,938.1886798883254,1854.3319798108726,1720.8501945647765,1806.968662849079,1382.641818696634,157.56543043639851,95.05339711044644,1348.0816032751318,0.1,375.4467687022546,507.9079480499414,0.1,1596.3474793583403,1316.5389165012525,1497.7374570020904,1314.5036622146765,1450.034490109971,1375.164548715129
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,719.6914410669414,894.5811126128583,707.3155130345117,632.3102141598941,721.9959709358149,695.3464500309891,583.1840051003462,597.4012642713734,599.4931098708398,810.0378270149226,808.0229818602256,719.297233909774,752.3996469913707,744.7524175516301,180.56570907884392,684.5958197123174,91.48021177176636,701.8590502177042,837.3749672146397,663.6335741079399,511.82226428383836,553.5841359075738,230.51394983229682,635.0035727440873,573.2326055097146,838.9229508629337,41.717852855990095,761.7370867222858,839.3623918628678,361.68992673278564,412.94404104063864,814.6789071765544,756.0436309646367,793.9166581383653,608.6363661817289,74.80560447623377,49.560756501454094,592.5729472142348,0.1,170.61950475243395,226.2344098916504,0.1,701.5750649144306,578.5621258219871,658.0054979527289,577.6426112959622,637.0826348216302,604.3101617900656
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__,0.1,21.340617983233027,0.1,17.43267980064319,21.00283843167543,17.711301065047387,25.71212318005089,24.447421405993275,20.419807026738496,22.401252255858008,20.507559232990687,24.227113316859306,0.1,21.86734561407113,273.1831352799283,16.680494452121113,355.32907761442954,17.643509399649922,5.234697614264838,0.1,26.26219217664525,9.58671445210017,222.56400587211627,17.22894518990519,26.6481667862945,37.04658487355646,378.48418855298723,22.257527957238878,31.629771048306733,67.13877514448413,57.821840796371795,20.38565093722069,19.440336237924846,22.749870553206744,89.33803416796759,349.73849986222376,487.42084135238656,34.09884160522618,200.092530808524,357.76448991025245,198.32393484364758,0.1,32.4278093206836,24.21721736183023,15.978610527330645,22.61418387982452,17.628697170515828,24.33514789816918
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira,491.7972306804168,609.116968588988,483.6050155020623,430.3686546387846,491.33239079654993,473.3779661592247,396.2385945842794,406.03450205691263,407.75228695062896,551.3302771272773,550.0912046123414,489.25814941291395,533.7799173109378,506.80402277858497,103.5957972843848,466.11363068820464,36.872899864756214,477.82843159895,571.226429164515,1780.1259271054246,347.4865438450721,377.19386492077433,141.3341339221141,432.2218392162928,389.3782721795383,569.9936318885489,1.238007904729307,518.3699002765045,570.6834430339796,242.06238696226725,277.71965036280534,554.6434003929066,514.6862231076028,540.3006655069585,409.03361469072127,25.892942192540666,0.1,402.0440258008642,0.1,90.71914774845189,140.1573985355464,993.1634870466384,476.5705674907979,393.19122595420504,448.01324127055426,392.6789220409268,433.6122645633718,410.7586865832543
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,896.4447285181099,1114.1198905090944,881.0494783427364,787.472334793326,899.1599988493449,865.984978073233,726.2383105543756,743.9534069954876,746.5809473608032,1008.8120147856033,1006.3128172985092,895.7809513110685,938.6801699148148,927.4993336503137,223.405417967842,852.6002817590802,111.99586578087911,874.097055141206,1042.955558366234,927.5938111481987,637.3513762964113,689.4588135611806,285.8952440119462,790.8281373570409,713.8383142799875,1044.7093752350297,49.88800538741286,948.652285536769,1045.28638890218,450.1315921457212,514.0216912030327,1014.6037080254022,941.5762891880693,988.7305402780396,757.5917210787919,91.2575951567218,59.059924668645884,737.8866751930229,0.1,210.553700507842,280.6976869352424,0.1,873.6623546083937,720.4897626357766,819.4848103038282,719.353251368694,793.4155031136826,752.5593320072422
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella,5.926982568524463,6.489563918249163,5.931183495855423,4.519231877478168,5.1285767906460915,5.011850956813295,3.890261529253447,4.039655972090744,4.1724334770094815,5.787502166863207,5.826116969941904,5.014148849921951,14.063794186671558,5.284382265682744,0.1,4.956196078174102,0.1,5.065531447986519,6.499736054014912,537.1169595346255,3.3076176278319003,4.120254078743805,0.1,4.546499496199049,3.7842270486334484,5.594520823671958,0.1,5.408026690479763,5.754241289404758,0.9362647438755056,1.6120586652281168,5.882496614724605,5.444060029526937,5.649407663988647,2.257331451962481,0.1,0.1,3.7229442054849713,0.1,0.1,0.1,477.5839322583132,4.6368711665294695,3.896668677435261,4.765250340604831,3.9355998412055953,4.551482568501132,4.097766923290649
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,3120.836895953597,3880.4185063958007,3067.0256339533266,2742.860248523214,3131.9458792209043,3016.243874952517,2530.137909428233,2591.7448773152223,2600.6581349989788,3513.8168177356374,3505.0043772047284,3120.36905610252,3251.9322351297765,3230.6690281165725,793.8239838277341,2969.5804526823817,410.7160720456305,3044.484751954525,3631.6954470296946,2152.0483616504634,2220.681239437933,2401.135715696353,1008.4444090882898,2754.53266174766,2487.017986892822,3639.6610677882454,195.8205448008719,3304.3427236247753,3641.353561835836,1571.2034642516926,1793.1131604723605,3533.8646895497054,3279.5406962518327,3443.9169964148464,2643.023418554741,338.1823052649385,234.12199646726344,2571.185618245473,0.1,754.0196085071553,988.9307936654664,0.1,3043.8352178553628,2510.035102624382,2854.2371321355126,2505.984284662903,2763.564780599207,2621.7026472185057
