,1015.3.30.F01.S900,1015.2.18.F01.S808A,1015.2.11.F01.S700A,1015.3.27.F01.S730,1015.2.20.F01.S1830,1015.1.27.F01.S,1015.2.07.F01.S2212,1015.3.19.F01.S800,1015.2.12.F01.S2200,1015.3.22.F01.S715,1015.2.08.F01.S2130,1015.2.01.F01.S2145,1015.2.16.F01.S1700,1015.2.01.F01.S946,1015.3.02.F01.S800,1015.3.21.F01.S800,1015.3.17.F01.S915,1015.2.24.F01.S400,1015.1.30.F01.S,1015.3.16.F01.S730,1015.2.04.F01.S100A,1015.2.20.F01.S2030,1015.1.20.F01.S,1015.2.09.F01.S1020P,1015.4.01.F01.S1100,1015.2.16.F01.S2030,1015.3.11.F01.S800,1015.2.22.F01,1015.1.23.F01.S,1015.2.25.F01.S2000,1015.2.27.F01.S800,1015.3.09.F01.S945,1015.1.31.F01.S745A,1015.1.22.F01.S.b,1015.2.06.F01.S2115,1015.3.31.F01.S1200,1015.3.15.F01.S815,1015.1.21.F01.S,1015.3.18.F01.S1500,1015.1.22.F01.S,1015.2.19.F01.S1737,1015.2.07.F01.S115A,1015.2.29.F01.S1030,1015.2.06.F01.S609A,1015.3.06.F01.S800,1015.3.04.F01.S700,1015.3.08.F01.S745,1015.2.07.F01.S1400,1015.1.25.F01.S1015A,1015.3.23.F01.S715,1015.3.10.F01.S800,1015.3.04.F01.S2359,1015.1.29.F01.S,1015.2.14.F01.S900A,1015.4.03.F01.S800,1015.3.14.F01.S800,1015.2.03.F01.S800A,1015.2.10.F01.S2100,1015.3.20.F01.S700,1015.3.12.F01.S730,1015.1.18.F01.S,1015.3.13.F01.S800,1015.1.24.F01.S,1015.1.19.F01.S,1015.2.19.F01.S1500,1015.1.26.F01.S,1015.2.12.F01.2200,1015.2.17.F01.S700A
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,11383.497529500537,7836.4745526133265,11101.537268647116,13384.85428909148,7757.224825624295,9835.787366598086,11225.115282871338,13195.474862810142,13322.737084544382,12590.144139027334,5653.5449752324475,8228.085689817819,7767.788182287039,11626.78430037749,11681.432668535172,13745.567512939368,7823.963362921384,12885.425516026246,11124.837529780647,8442.879122636625,12404.12937234622,10889.749545643066,11567.350053524722,9126.879265046942,12954.230553111429,9383.539054722502,8616.397730216991,9098.745646461479,9534.744854565795,9097.4416678799,13152.3772927801,8931.340736038524,9670.025079443265,9551.168003397923,8156.074646091591,13695.169977203526,9337.17377323782,10213.946153266936,12127.45773575454,5669.260678684609,10445.94113203827,7412.311416479643,12441.197167548276,9395.703560428907,10217.040603599708,6920.227020716297,10161.05410071707,8861.761156264409,9966.839348731546,11985.392207409099,11310.946425798998,12990.338758688456,11627.269401074043,11423.59837999146,8825.751767186848,11066.776203445474,11220.01473792134,11068.20957571868,12963.037728725456,11063.208991770507,10704.649178283556,11006.912438012063,10403.37345967636,7114.536898622954,9390.36603272372,214346.51892953995,0.1,9372.754696822316
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira,317.1325460783019,217.98439323313752,305.21496286036563,368.2925448856499,218.10102507373074,274.4059298387148,308.5833000061689,363.1323483207617,366.6770157790677,346.52823874085107,155.9434824203331,226.06687016275046,216.09443964465103,319.81891634750826,321.82453400219094,378.24480301510215,215.1729072260532,354.5751411314367,305.8024432365842,232.04545787969886,341.1344136203492,299.96889057833147,317.9346182106725,250.77625009982899,356.4743541680025,259.6974034727159,236.8984582873899,251.7825888373777,262.0472944087306,250.96200082475448,361.8951634503886,249.70590016833458,265.7002797078096,262.5773521223561,224.10634881050686,376.78116328848466,256.87439888442253,281.4566437096936,333.7059724307548,155.67961070013146,287.7518041164874,203.53343872665118,343.56283189405013,258.454772756135,281.97154000726084,190.2236094681404,279.46612402979844,243.45949212929784,274.0104523927804,329.6663122588932,312.79635555665084,357.9501058557653,319.79149092366225,314.2614083003455,242.67941165045147,304.46301975086226,308.43883665800075,304.2015941221603,356.73249013550867,304.2348347735492,294.1937050896509,302.8851158395296,286.0031999241225,188.80395138421392,260.3836911708251,5919.20453290513,0.1,258.6822564823986
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium,76.57522976588426,0.1,0.1,0.1,488.14677422327196,151.70665400330824,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,254.33957209178672,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,21251.11545281513,0.1
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,7.121200645801737,5.872431417043602,18.825303678897008,21.813250668901745,0.1,5.009536814195801,19.12024690555904,21.356362898324832,21.438101556633995,20.21796207150196,8.094386253797282,14.386042676661484,5.760509922696568,19.238368868962414,17.8595447317945,22.32211225231908,13.067358386792698,20.927134756766783,19.020146014645785,14.536018295737287,20.720542578361762,16.77988076936791,19.869488518708838,15.913624381864874,21.021719689949933,10.895334963058042,14.589147483225734,10.660917939189725,16.43686456996608,12.953638320756239,21.436235141717287,2.9905064643201853,16.860093896938686,16.23504026512461,14.207544736937075,22.464929839526253,15.344596362993007,15.436084490896215,19.73052805505161,10.156294610298797,16.072468370967563,13.310706791803227,16.661927415443973,15.528035875543166,14.1843404178134,11.835615043755071,16.914945142156082,15.545517911779053,16.92519123169456,19.881053325553264,13.845907163779385,19.67035663691631,19.358399108397645,18.809916721633275,14.870533077749098,18.17051713637559,19.123979523009513,19.05272204875991,20.98986312658288,18.544973557765232,18.47280356405709,17.870337466522635,17.69146792328832,31.939784542203626,9.448796942568867,286.9484764994922,0.1,12.978715100082836
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium,20.06513217809995,16.352653231153294,50.66919197371366,58.77655852431222,0.1,14.343681871009851,51.45675074460323,57.55683115442189,57.78671797969104,54.501022394749526,21.896453954638147,38.68876400910344,16.051075631375006,51.8161867016992,48.213496361979466,60.153762972725154,35.18615780058578,56.3944267787521,51.182168149582736,39.1082257346844,55.79343687774657,45.28815434411122,53.46091832602779,42.800066868095776,56.65063510850982,29.69514253609077,39.26900050930283,29.04587709468589,44.220806585521466,35.04765765642353,57.760535123997485,8.945145158792355,45.3456589849473,43.69451870444683,38.212485221833575,60.521334336479214,41.336739587635705,41.68584609902194,53.167163789638735,27.29613639410205,43.38079052146491,35.771740479273205,45.17332150446812,41.82426924397487,38.409384461214586,31.848690466691288,45.550634209569004,41.8032853220296,45.55317764533074,53.54345299042605,37.660175640641945,53.11751538483446,52.130465655069294,50.6691728841521,40.03179073053279,48.95072905435321,51.46588446254975,51.26036741006761,56.568341157859116,49.93054495776724,49.69679241201476,48.157427188660115,47.61372858892759,84.50220383369127,25.909210799823107,777.9769964890402,0.1,35.14772155784496
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,1885.1985636340646,1408.6856001424505,3196.619491519873,3753.036724930957,618.4780364502651,1498.1710214083578,3241.9640468385146,3682.987871090347,3704.306657069404,3495.892694643292,1457.283304085104,2418.7663690272016,1389.4282140090693,3293.262524949157,3140.784701753417,3845.1487549070644,2229.995000175477,3604.7463830278266,3221.0853125015224,2456.121973724476,3535.841867370151,2942.8690301660686,3359.816326454523,2677.964318135415,3622.0331096564496,2128.450179552233,2478.5228078482514,2074.8549649194133,2776.1568775777714,2336.8241421340085,3688.0631481083087,1182.2612887789744,2837.267562544046,2754.6307223708545,2391.585471747243,3856.7327199247343,2632.703834251835,2725.6629274143093,3396.6348993269985,1694.4687318994784,2820.2407902599407,2219.07858339224,3075.3700049489807,2659.1810961024016,2582.8612266380687,2004.1506609475696,2889.7416669167637,2610.937785053353,2872.638143646335,3400.474388575601,2647.105298892709,3470.949942419921,3307.029403954585,3225.165149891699,2530.388693256153,3118.4968255161493,3241.910800129448,3219.480779684264,3619.2201516380323,3160.9670773119988,3118.9779868848027,3078.5489138896123,3001.3109618451344,4320.6385681151505,1963.731862649036,52971.57701295757,0.1,2365.596603796668
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium],18.192631907107074,16.554547113586484,67.10111568774235,77.22965049533883,0.1,10.96848987520758,68.20281214528029,75.52099194222049,75.73321378140099,71.39720686026983,27.97077976880281,51.533546311746505,16.158300001589055,68.2915488230468,62.50834172172781,78.9827590543163,46.45936648515888,74.04802352039916,67.88729408068461,51.941660792321436,73.67142147710145,58.81510073084896,70.97310651535663,56.98051890830975,74.37212477438611,35.8744745582578,51.98872425565072,35.185597458068784,58.74617211001011,44.712319524461,75.89596688855244,3.4853853595882773,60.36913817567403,57.89122835829125,50.864025905411424,79.62655523597103,54.4059383386707,53.90850618300549,69.8351835490768,36.52152762868213,56.32025313136435,47.88239892602742,56.772255871536856,55.10948211356724,48.70486897864217,42.24644143090026,60.105570676746225,55.716518574959295,60.342522448702155,70.6027497513723,46.203948734446676,68.72156468629319,68.78974516813801,66.714848368308,52.948243363043616,64.41550760474965,68.22342477311382,68.07931263375636,74.23095756711,65.97480776165652,66.03383820681888,63.22828618898363,63.08921032138699,125.57745485828652,29.857803788617,977.6340459247521,0.1,44.54095285405643
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Peptoniphilus,291.584370820775,176.5996271121165,0.1,8.57567620924986,343.6390379350859,280.37971711503087,0.1,12.141691435472367,15.348569542974884,15.5317053482233,31.457688194545394,0.1,176.55521073353023,0.230641960857418,36.77396593717136,10.771412996516139,0.1,10.051370290711251,0.1,0.1,0.1,31.030332074289433,0.1,0.1,10.531856798552278,115.37114705533727,0.1,109.47547998226557,0.1,52.3986704285097,8.380680617294933,293.3565532575484,0.1,0.1,0.1,5.144299450440913,2.802854374611368,36.627207779272034,8.60444248204161,0.1,30.351508117360343,0.1,97.84252666762924,0.6503368380067917,67.8872198293585,0.1,0.1,0.1,0.1,0.1,121.34445559191934,45.6288222894334,0.1,2.5209622777259995,0.1,3.732093802506765,0.1,0.1,11.686795759810307,0.1,0.1,8.733175614291955,0.1,0.1,151.62963465812,1688.5922003852234,149.2474135006261,63.110577886797344
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,149.46616415248175,84.0476076114025,0.1,0.1,215.05832844482524,151.35715673995784,0.1,0.1,0.1,0.1,0.1,0.1,84.48521748459584,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,25.58730646463179,0.1,22.940804301643144,0.1,0.1,0.1,167.7118431517373,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,16.99950883278392,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,53.85997901925257,0.1,2150.7216526037,0.1
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus,147.97550981642337,91.93669920789215,22.69963851862128,36.41677815315065,160.4893787368875,139.56126740378872,22.07828439475318,37.41910559375656,39.05163145916776,37.32698153202754,26.83792818320413,12.38825027389171,91.74965275683293,28.66258612438215,43.83677517983609,38.206756924964026,18.045500362166656,35.79699609288284,21.1572858070108,15.020623256798196,28.573317829457487,39.52769260222763,21.049164091866697,14.190593278821616,36.163804861891826,70.53848819081485,17.843493828496953,67.4122907293183,16.748268109204663,43.91832930155015,35.76531595586169,142.67978922791974,15.04080962052258,19.13282625823145,12.818183948350404,35.7670102420821,24.09551434536461,40.170678002048135,33.33912334336091,6.03682223698841,38.157850924834214,7.567434179096449,70.83717761752264,23.353426690048853,53.04377543326539,13.119005029457714,24.006575888059892,12.814614538984985,20.13342690160702,29.04188348586793,77.73263486710258,50.69717067769493,27.443349166584287,29.105960191061968,19.02519446328638,28.727686137759207,21.94111295226827,19.725103470539825,36.660775833840816,24.825475824711305,18.60723223479813,30.63886251277764,20.759583765198066,0.1,85.47794901967757,1221.6251231611682,0.1,49.003423879667864
